"epoch","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"epoch","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
1351463836.447,0.008,0,99.992,0,0,0,0,1228.8,50.667,14.467,0,0,26,16.1,103616512,101531648,32256000,2951831552
1351463866.447,4.005,4.37,90.821,0.448,0,0.357,272793.6,61576.533,112988.667,3651743.3,0,0,1802.167,1752.467,104148992,101568512,41844736,2941673472
1351463896.447,7.584,8.257,83.486,0.025,0,0.648,0,110865.067,220775.1,7172959.567,0,0,3324.867,3293.733,103931904,101617664,44646400,2939039744
1351463926.446,7.414,8.362,83.434,0.008,0,0.781,0,100215.467,218779.233,7112023.5,0,0,3300.967,3264.3,104009728,101675008,47423488,2936127488
1351463956.446,7.683,8.389,83.213,0.008,0,0.707,0,99532.8,218550.7,7095695.967,0,0,3298.9,3258.8,103849984,101728256,50196480,2933460992
1351463986.447,7.681,8.754,82.891,0,0,0.674,0,99259.733,218083.733,4158886300.3,0,0,3291.533,3251.633,103825408,101777408,52965376,2930667520
1351464016.446,8.884,8.193,82.158,0.05,0,0.715,409.6,121378.133,217136.067,7051975.667,0,0,3296.6,3243.433,104988672,101916672,55734272,2926596096
1351464046.446,7.655,8.253,83.319,0.008,0,0.765,0,108817.067,218326.233,7094068.667,0,0,3297.467,3255.4,104579072,101969920,58503168,2924183552
1351464076.446,7.539,8.446,83.175,0.008,0,0.832,0,99669.333,218387.333,7089917.2,0,0,3296.767,3255.4,104415232,102019072,61276160,2921525248
1351464106.446,7.738,8.526,82.956,0.008,0,0.772,0,99805.867,218340.4,7091992.867,0,0,3295.567,3254.167,104513536,102072320,64045056,2918604800
1351464136.447,7.504,8.701,83.188,0.008,0,0.598,0,99532.8,218131.4,7086062.333,0,0,3299.967,3254.133,104230912,102125568,66813952,2916065280
1351464166.446,7.479,8.542,83.249,0.008,0,0.722,0,99123.2,218122.7,7090213.733,0,0,3296.133,3253.133,104202240,102174720,69586944,2913271808
1351464196.446,7.533,8.231,83.513,0.017,0,0.706,0,99669.333,218304.1,7099412.867,0,0,3300.533,3259.633,103911424,102227968,72364032,2910732288
1351464226.446,7.788,8.353,83.202,0.008,0,0.648,0,100078.933,219858.1,7142713.333,0,0,3313.667,3276.067,103735296,102281216,75153408,2908065792
1351464256.446,7.793,8.366,83.011,0.008,0,0.822,0,100215.467,219599.867,7131735,0,0,3318.7,3274.9,103821312,102330368,77938688,2905145344
1351464286.447,7.559,8.531,83.27,0,0,0.64,0,100078.933,218775.567,7101481.867,0,0,3303.567,3258,104038400,102383616,80715776,2902097920
1351464316.446,7.448,8.729,83.199,0,0,0.624,0,99532.8,218850.233,7113053.533,0,0,3303.233,3266.333,103907328,102436864,83492864,2899398656
1351464346.446,7.713,8.726,82.814,0.008,0,0.739,0,100078.933,219549.567,7137672.267,0,0,3311.9,3275.6,103989248,102486016,86282240,2896478208
1351464376.446,7.425,8.643,83.186,0,0,0.746,0,99942.4,219283.133,7119280.6,0,0,3334.9,3268.467,103948288,102539264,89063424,2893684736
1351464406.447,7.664,8.46,83.172,0.008,0,0.697,0,100078.933,219179.333,7120763.267,0,0,3321.2,3266.433,103907328,102592512,91844608,2890891264
1351464436.447,7.478,8.474,83.326,0.008,0,0.714,0,99942.4,218878,7110088.067,0,0,3308.7,3265.033,103714816,102641664,94621696,2888257536
1351464466.447,7.689,8.345,83.26,0,0,0.706,0,100078.933,218777.367,7106378.2,0,0,3303,3261.167,103673856,102694912,97402880,2885464064
1351464496.447,7.641,8.297,83.331,0.008,0,0.723,0,100488.533,218888.667,7111715.6,0,0,3307.333,3264.967,103886848,102748160,100184064,2882416640
1351464526.446,7.442,8.423,83.412,0.008,0,0.715,0,99942.4,219312.067,7126990.467,0,0,3309.967,3269.233,103751680,102797312,102969344,2879717376
1351464556.446,7.345,8.632,83.267,0,0,0.756,0,100488.533,219166.333,7124328.267,0,0,3310.233,3271.833,103931904,102850560,105750528,2876702720
1351464586.446,7.4,8.67,83.241,0.008,0,0.681,0,99396.267,219137.2,4158917146.133,0,0,3306.367,3265.6,103763968,102903808,108531712,2874036224
1351464616.446,9.164,8.428,81.639,0.017,0,0.753,0,119466.667,217847.133,7067988.467,0,0,3340.7,3252.8,104300544,103026688,111308800,2870599680
1351464646.446,7.846,8.619,82.803,0.008,0,0.724,0,104448,218170.833,7100592.4,0,0,3368.3,3257.167,104140800,103079936,114081792,2867933184
1351464676.446,7.685,8.495,82.985,0.017,0,0.818,0,99942.4,218367.333,7094365.2,0,0,3368.133,3257.733,104099840,103133184,116854784,2865147904
1351464706.446,7.595,8.22,83.469,0.016,0,0.699,0,99259.733,218227.767,7086655.333,0,0,3367.667,3251.8,103571456,103182336,119619584,2862862336
1351464736.446,7.762,9.023,82.49,0.058,0.008,0.659,409.6,122197.333,217846.733,7081025.833,0,0,3373.267,3291.267,104919040,103284736,122392576,2858639360
1351464766.446,7.844,8.304,82.982,0.008,0,0.862,0,104857.6,218012.633,7083987.933,0,0,3436.4,3250.067,104509440,103337984,125161472,2856226816
1351464796.446,7.519,8.24,83.365,0.016,0,0.86,0,98440.533,216218.233,7030047.967,0,0,3406.9,3228.033,104759296,103387136,127909888,2853179392
1351464826.446,7.534,8.142,83.429,0.008,0,0.886,0,99396.267,218297.5,7086358.8,0,0,3441.133,3251.733,104349696,103440384,130678784,2850766848
1351464856.446,7.82,8.32,83.039,0.008,0,0.812,0,100078.933,218180.233,7088731.067,0,0,3408.233,3252.567,104542208,103493632,133447680,2847752192
1351464886.446,7.559,8.455,83.206,0.016,0,0.764,0,99805.867,218498.967,7104447.333,0,0,3399.033,3262.033,104513536,103542784,136220672,2844958720
1351464916.446,7.627,8.299,83.336,0.016,0,0.721,0,99942.4,217979.967,7081614.267,0,0,3397.833,3249.533,104357888,103596032,138989568,2842292224
1351464946.446,7.456,8.646,83.102,0.008,0,0.787,0,99805.867,218481.933,7097033.967,0,0,3405.433,3258.8,104452096,103649280,141762560,2839371776
1351464976.446,7.714,8.181,83.294,0.025,0,0.787,0,99396.267,217467.8,7063525.767,0,0,3395.033,3241.533,104304640,103698432,144527360,2836705280
