"Time" "Int" "rKB/s" "wKB/s" "rPk/s" "wPk/s" "rAvs" "wAvs" "%Util" "Sat"
"10:29:21 PM" "e1000g0" 32128.9 1175.8 22352.9 6642.6 1471.8 181.3 26.3 0
"10:29:51 PM" "e1000g0" 0.53 2.54 2.7 2.57 201.1 1015.5 0 0
"10:30:21 PM" "e1000g0" 3833 122.9 2658.5 510.4 1476.4 246.5 3.14 0
"10:30:51 PM" "e1000g0" 7015.8 222.4 4863.9 917.3 1477 248.3 5.75 0
"10:31:21 PM" "e1000g0" 6955.8 217.6 4821.8 906.3 1477.2 245.8 5.7 0
"10:31:51 PM" "e1000g0" 6939.6 217.2 4810.2 906.2 1477.3 245.4 5.68 0
"10:32:21 PM" "e1000g0" 6927.4 216.7 4801.6 903.3 1477.4 245.7 5.67 0
"10:32:51 PM" "e1000g0" 6898.2 216 4783.3 901.3 1476.7 245.4 5.65 0
"10:33:21 PM" "e1000g0" 6937.5 216.9 4808.6 904 1477.4 245.7 5.68 0
"10:33:51 PM" "e1000g0" 6930.9 217 4804.3 906 1477.3 245.2 5.68 0
"10:34:21 PM" "e1000g0" 6936.4 217.1 4808.1 905.5 1477.3 245.5 5.68 0
"10:34:51 PM" "e1000g0" 6930 216.8 4803.6 903.4 1477.3 245.7 5.68 0
"10:35:21 PM" "e1000g0" 6933.2 216.7 4805.7 902 1477.3 246.1 5.68 0
"10:35:51 PM" "e1000g0" 6944.5 218.7 4813.9 903.2 1477.2 247.9 5.69 0
"10:36:21 PM" "e1000g0" 6989 218.4 4844.2 912.1 1477.4 245.2 5.73 0
"10:36:51 PM" "e1000g0" 6968 217.7 4829.6 908.7 1477.4 245.4 5.71 0
"10:37:21 PM" "e1000g0" 6947.9 217.3 4815.6 909.5 1477.4 244.7 5.69 0
"10:37:51 PM" "e1000g0" 6953.9 217.1 4819.7 904.2 1477.4 245.9 5.7 0
"10:38:21 PM" "e1000g0" 6986.1 218.2 4842.2 909 1477.4 245.8 5.72 0
"10:38:51 PM" "e1000g0" 6957.4 217.5 4822.2 908.4 1477.4 245.1 5.7 0
"10:39:21 PM" "e1000g0" 6966.1 217.7 4828.2 908.4 1477.4 245.4 5.71 0
"10:39:51 PM" "e1000g0" 6952 217.2 4818.7 906.1 1477.3 245.5 5.7 0
"10:40:21 PM" "e1000g0" 6947.3 217.1 4815.1 906 1477.4 245.4 5.69 0
"10:40:51 PM" "e1000g0" 6955.1 217.3 4820.6 906.7 1477.4 245.4 5.7 0
"10:41:21 PM" "e1000g0" 6976.3 217.9 4835.3 908.4 1477.4 245.6 5.71 0
"10:41:51 PM" "e1000g0" 6965.2 217.5 4827.6 906.4 1477.4 245.7 5.71 0
"10:42:21 PM" "e1000g0" 6956.3 217.5 4821.4 908.7 1477.4 245.1 5.7 0
"10:42:51 PM" "e1000g0" 6909.8 216.1 4789.2 904.1 1477.4 244.8 5.66 0
"10:43:21 PM" "e1000g0" 6942.9 216.6 4812.1 899.7 1477.4 246.5 5.69 0
"10:43:51 PM" "e1000g0" 6937.1 216.7 4808.1 904.1 1477.4 245.5 5.68 0
"10:44:21 PM" "e1000g0" 6931.3 216.6 4804.1 904.4 1477.4 245.3 5.68 0
"10:44:51 PM" "e1000g0" 6925.8 216.2 4800.4 900.8 1477.4 245.8 5.67 0
"10:45:21 PM" "e1000g0" 6926.1 216.4 4800.5 903 1477.4 245.4 5.67 0
"10:45:51 PM" "e1000g0" 6876.6 214.6 4766.3 892.8 1477.4 246.1 5.63 0
"10:46:21 PM" "e1000g0" 6929.3 216.8 4802.7 907.1 1477.4 244.7 5.68 0
"10:46:51 PM" "e1000g0" 6933.1 216.6 4805.3 903 1477.4 245.6 5.68 0
"10:47:21 PM" "e1000g0" 6947.6 216.9 4815.5 903.5 1477.4 245.8 5.69 0
"10:47:51 PM" "e1000g0" 6921.2 216.2 4797.1 901.9 1477.4 245.5 5.67 0
"10:48:21 PM" "e1000g0" 6941.5 216.9 4811.3 905 1477.4 245.4 5.69 0
"10:48:51 PM" "e1000g0" 6910.7 215.9 4789.9 901.4 1477.4 245.3 5.66 0
"10:49:21 PM" "e1000g0" 6917.1 216.3 4794.2 904 1477.4 245 5.67 0
"10:49:51 PM" "e1000g0" 6967.6 217.7 4829.4 908.1 1477.4 245.5 5.71 0
"10:50:21 PM" "e1000g0" 6952.2 217.2 4818.6 906.2 1477.4 245.4 5.7 0
"10:50:51 PM" "e1000g0" 6928.1 216.5 4801.9 903.8 1477.4 245.3 5.68 0
"10:51:21 PM" "e1000g0" 6934.5 216.7 4806.4 904.5 1477.4 245.3 5.68 0
"10:51:51 PM" "e1000g0" 6914.2 216 4792.4 901.7 1477.4 245.3 5.66 0
"10:52:21 PM" "e1000g0" 6928.1 216.4 4801.9 902.2 1477.4 245.6 5.68 0
"10:52:51 PM" "e1000g0" 6851.6 214.2 4749 894.7 1477.3 245.1 5.61 0
"10:53:21 PM" "e1000g0" 6900.3 215.7 4782.5 901 1477.5 245.1 5.65 0
"10:53:51 PM" "e1000g0" 6879.4 215.1 4768.3 899.5 1477.4 244.9 5.64 0
"10:54:21 PM" "e1000g0" 6891.9 215.3 4776.7 898.4 1477.4 245.4 5.65 0
"10:54:51 PM" "e1000g0" 6896.5 215.4 4780.1 898.3 1477.4 245.6 5.65 0
"10:55:21 PM" "e1000g0" 6907.3 217.7 4788 905.1 1477.2 246.3 5.66 0
