"epoch","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"epoch","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
1351503158.109,0,0,100,0,0,0,0,3413.333,48.867,16.133,0,0,19.767,9.833,105357312,126660608,95891456,2861326336
1351503188.106,4.097,2.816,92.037,0.025,0,1.026,0,96529.067,245470.333,7998994.9,0,0,3434.533,1864.467,104755200,126697472,98836480,2858946560
1351503218.106,6.951,4.992,86.332,0.042,0,1.683,0,182272,412399.667,13424687.467,0,0,5782.867,3117.667,104648704,126754816,104091648,2853740544
1351503248.106,6.482,4.949,86.769,0.033,0,1.766,0,182408.533,407589,13270898.733,0,0,5726.8,3084.3,104591360,126812160,109297664,2848534528
1351503278.107,6.591,4.641,87.11,0.033,0,1.625,0,175718.4,396512.833,4164701866.533,0,0,5598.067,2996.467,104448000,126865408,114339840,2843582464
1351503308.107,6.916,5.025,86.218,0.033,0,1.808,0,181316.267,411856.933,13412523,0,0,5776.433,3117.467,104755200,126918656,119566336,2837995520
1351503338.107,6.467,4.875,86.85,0.033,0,1.775,0,178722.133,402816.967,13113854.533,0,0,5670.267,3046.467,104513536,126971904,124706816,2833043456
1351503368.107,6.766,5.266,86.168,0.042,0.008,1.75,0,184320,415669.8,13527604.333,0,0,5821.233,3144.933,104505344,127029248,129990656,2827710464
1351503398.106,6.816,4.758,86.684,0.042,0,1.7,0,179950.933,405660.6,13209351.467,0,0,5703.767,3067.867,104624128,127082496,135151616,2822377472
1351503428.106,6.382,4.841,87.027,0.033,0,1.716,0,179814.4,405829.533,13206682.667,0,0,5707.5,3069.667,104235008,127135744,140312576,2817552384
1351503458.106,7.001,5.45,85.749,0.033,0,1.767,0,185139.2,420031.767,13687182.667,0,0,5868.133,3179.3,104173568,127188992,145653760,2812219392
1351503488.106,6.641,4.666,86.986,0.042,0,1.666,0,179814.4,403663.2,13140246,0,0,5681.467,3054.667,104308736,127246336,150794240,2806886400
1351503518.106,6.775,5.05,86.417,0.042,0,1.717,0,181589.333,410602.433,13367140.133,0,0,5761.233,3104.667,104374272,127299584,156008448,2801553408
1351503548.106,6.549,4.891,86.802,0.033,0,1.725,0,179131.733,405533.067,13191856.067,0,0,5704.467,3066.467,104112128,127352832,161169408,2796601344
1351503578.106,6.633,4.833,86.618,0.033,0,1.883,0,179814.4,409604.2,13330666.6,0,0,5749.567,3097.533,104312832,127406080,166375424,2791141376
1351503608.106,8.133,4.85,85.267,0.058,0,1.692,0,182954.667,396601.533,4164710044.533,0,0,5604.167,3012.767,105095168,127541248,171433984,2785165312
1351503638.106,6.532,4.882,86.887,0.05,0,1.65,0,184729.6,405479.833,13198381.133,0,0,5702.367,3066.967,104333312,127594496,176586752,2780721152
1351503668.106,6.6,4.767,86.825,0.025,0,1.783,0,176810.667,404164.2,13158334.267,0,0,5687.667,3059.367,104468480,127647744,181723136,2775396352
1351503698.106,6.567,4.65,87.05,0.033,0,1.7,0,180360.533,405342.433,13187111.733,0,0,5700.5,3063.4,104759296,127700992,186871808,2769903616
1351503728.106,6.607,5.207,86.294,0.042,0,1.85,0,185002.667,421578.2,13731072.4,0,0,5888.6,3191,104517632,127754240,192233472,2764730368
1351503758.106,6.807,4.616,86.861,0.033,0,1.683,0,177220.267,400981.233,13049783.533,0,0,5650.133,3032.4,104583168,127811584,197316608,2759524352
1351503788.106,6.933,5.066,86.226,0.025,0,1.75,0,183773.867,411007.7,13381083.867,0,0,5766.567,3110.3,104472576,127864832,202579968,2754318336
1351503818.107,6.783,5.041,86.334,0.042,0,1.8,0,183910.4,417221.667,13583958.867,0,0,5837.333,3155.367,104574976,127918080,207884288,2748858368
1351503848.107,6.557,4.816,86.919,0.033,0,1.675,0,181043.2,407105.233,13253251.6,0,0,5721.267,3080.733,104542208,127971328,213069824,2743652352
1351503878.106,6.85,4.767,86.7,0.025,0,1.658,0,181179.733,411310.533,13391172.567,0,0,5768.667,3110.567,104460288,128028672,218300416,2738446336
1351503908.106,6.675,4.775,86.95,0.025,0.008,1.567,0,178176,402397.633,13090711.767,0,0,5668.133,3043.533,104370176,128081920,223416320,2733367296
1351503938.106,7.098,4.957,86.087,0.033,0,1.825,0,184046.933,418177.7,4165430165.933,0,0,5846.767,3165.633,104472576,128135168,228720640,2727907328
1351503968.106,6.792,5.008,86.5,0.033,0,1.667,0,188006.4,421670.7,13735223.767,0,0,5889.933,3192.1,104501248,128188416,234098688,2722447360
1351503998.106,6.691,5,86.651,0.042,0,1.617,0,182272,411864.467,13409267.833,0,0,5775.8,3114.9,104652800,128245760,239349760,2716987392
1351504028.106,6.675,4.792,86.75,0.042,0.008,1.733,0,180087.467,406656.633,13240645.733,0,0,5716.367,3079.333,104505344,128299008,244523008,2711908352
1351504058.106,6.824,5.174,86.194,0.042,0,1.766,0,184183.467,423782.9,13809225.333,0,0,5911.867,3206.8,104386560,128352256,249921536,2706575360
1351504088.106,6.775,4.983,86.45,0.033,0,1.758,0,186094.933,414771.3,13512178,0,0,5809.767,3140.733,104648704,128409600,255188992,2700988416
1351504118.106,6.399,4.983,86.827,0.025,0,1.766,0,178039.467,398791.933,12975043.933,0,0,5624.633,3015.1,104595456,128462848,260268032,2695909376
1351504148.106,6.791,4.924,86.561,0.033,0,1.691,0,180497.067,407523.133,13266299.067,0,0,5726.533,3084,104435712,128516096,265453568,2690830336
1351504178.106,6.767,5.092,86.307,0.033,0,1.8,0,182681.6,414993,13512770.967,0,0,5810.7,3138.667,104595456,128569344,270733312,2685337600
1351504208.106,8.515,4.983,84.653,0.042,0,1.808,0,201932.8,415895.633,13549870.967,0,0,5825.967,3161.067,105140224,128696320,276013056,2679386112
1351504238.106,7.133,4.875,86.168,0.033,0,1.792,0,189917.867,421142.967,4165521822.533,0,0,5882.833,3186.967,104443904,128753664,281350144,2674688000
1351504268.106,7.067,5.458,85.683,0.033,0,1.758,0,187050.667,422528.7,13763994.2,0,0,5899.2,3199.167,104448000,128806912,286777344,2669203456
1351504298.106,7.324,5.274,85.561,0.025,0,1.816,0,192102.4,443443.6,14453737.667,0,0,6139.133,3355.567,104398848,128860160,292360192,2663616512
1351504328.106,6.982,5.374,85.911,0.033,0,1.7,0,190327.467,426484.067,13898501.667,0,0,5944.667,3230.2,104435712,128917504,297820160,2658062336
1351504358.106,7.176,5.617,85.14,0.117,0,1.95,409.6,230331.733,437535.433,14258730.033,0,0,6079.033,3352.1,105082880,129019904,303419392,2651713536
1351504388.106,6.807,4.958,86.427,0.033,0,1.775,0,186231.467,415632.6,13529383.533,0,0,5821.733,3144.833,105230336,129073152,308711424,2646220800
1351504418.106,6.599,5.016,86.509,0.025,0,1.85,0,183091.2,414123.2,13486669.467,0,0,5801.167,3132.433,105070592,129130496,313987072,2641047552
1351504448.106,6.732,4.824,86.77,0.033,0,1.641,0,182545.067,408935.3,13310792.333,0,0,5743.067,3094.333,105271296,129183744,319193088,2635587584
1351504478.106,6.65,4.758,86.817,0.05,0,1.725,0,175035.733,403112.1,13124826.267,0,0,5672.8,3048.667,105332736,129236992,324284416,2630381568
1351504508.106,6.641,4.45,87.443,0.033,0,1.433,0,174626.133,386751.4,12577300.333,0,0,5487.4,2925.067,105316352,129290240,329232384,2625396736
1351504538.107,6.908,4.933,86.209,0.042,0,1.908,0,182545.067,415531.633,13535017.667,0,0,5817.6,3143.767,105021440,129343488,334520320,2620350464
1351504568.107,6.916,4.866,86.477,0.033,0,1.708,0,180906.667,407098.7,4165052896.333,0,0,5722.133,3080.333,105132032,129400832,339685376,2615017472
1351504598.106,6.726,4.925,86.607,0.033,0,1.708,0,181998.933,408129.567,13285876.867,0,0,5731.733,3086.133,105074688,129454080,344895488,2609811456
1351504628.106,6.699,4.891,86.859,0.033,0,1.517,0,178858.667,403385.933,13128081.433,0,0,5679.333,3051.567,105222144,129507328,350027776,2604478464
1351504658.106,6.916,4.891,86.444,0.033,0,1.716,0,182954.667,416152.1,13548071.833,0,0,5824.633,3147.533,104837120,129560576,355311616,2599526400
1351504688.106,7.066,5.358,85.701,0.033,0,1.842,0,188279.467,428965.033,13973986,0,0,5974.4,3247.033,105046016,129617920,360759296,2593812480
1351504718.106,7.107,4.932,86.145,0.042,0,1.775,0,189644.8,425553.267,13858469.867,0,0,5934.067,3218.6,104894464,129671168,366190592,2588479488
1351504748.106,6.808,5.008,86.35,0.042,0,1.792,0,180633.6,408905.9,13315681.667,0,0,5742.2,3095.633,105095168,129724416,371396608,2583019520
1351504778.106,7.025,4.95,86.417,0.033,0,1.575,0,182272,413043.9,13439810.667,0,0,5789.467,3121.267,105005056,129777664,376639488,2577813504
1351504808.106,8.099,4.875,85.343,0.05,0,1.633,0,212855.467,397365.067,12931316.8,0,0,5614.667,3017.767,105394176,129916928,381706240,2572218368
1351504838.106,6.573,4.899,86.787,0.05,0,1.691,0,181179.733,410411.1,13360464.8,0,0,5758.1,3103.8,104706048,129970176,386912256,2567647232
1351504868.106,6.642,4.767,86.817,0.033,0.008,1.733,0,179950.933,404539.6,13172574.733,0,0,5691.9,3061.833,105078784,130023424,392065024,2562068480
1351504898.106,6.691,4.925,86.559,0.033,0,1.792,0,180224,406784.467,4165050082.667,0,0,5715.7,3077.433,104919040,130076672,397250560,2556989440
1351504928.106,6.691,5.016,86.536,0.042,0,1.716,0,181862.4,409972.467,13350975.733,0,0,5754.6,3103.533,104857600,130134016,402460672,2551783424
1351504958.106,6.616,4.983,86.751,0.042,0,1.608,0,175581.867,396066.567,12888436.4,0,0,5592.5,2993.867,104714240,130187264,407502848,2546831360
1351504988.106,6.499,4.716,87.068,0.033,0,1.683,0,178858.667,403969.5,13150031.6,0,0,5683.767,3055,104603648,130240512,412639232,2541752320
1351505018.106,6.691,4.733,86.884,0.042,0,1.65,0,178039.467,401738.6,13076478.133,0,0,5660.267,3040.267,104648704,130293760,417746944,2536546304
1351505048.106,6.941,4.758,86.652,0.033,0,1.616,0,183637.333,415332.8,13522859.8,0,0,5815.2,3141.533,104767488,130351104,423030784,2531086336
1351505078.109,3.551,2.619,92.804,0.025,0,1,0,95846.4,213723.7,6962679.133,0,0,3012.967,1624.7,104775680,130383872,425910272,2528165888
1351505108.109,0,0,100,0,0,0,0,1228.8,38.2,5.933,0,0,19.9,10.4,104767488,130392064,425910272,2528165888
1351505138.109,0,0.008,99.992,0,0,0,0,546.133,40.2,7.333,0,0,21.867,12.433,104759296,130400256,425910272,2528165888
1351505168.106,10.763,7.961,78.319,0.016,0,2.94,0,211490.133,602303.067,19677447.133,0,0,7549.467,4524.5,104521728,130441216,433217536,2521055232
1351505198.106,18.273,13.574,63.37,0.042,0,4.741,0,440866.133,1018099.1,33272665.333,0,0,12717.733,7645.133,105054208,130502656,446210048,2507468800
1351505228.106,17.999,12.841,64.278,0.017,0,4.866,0,443733.333,1023561.9,4185253979.733,0,0,12771.3,7691.3,104902656,130564096,459284480,2494484480
1351505258.106,18.239,13.406,63.198,0.042,0,5.116,0,442914.133,1024844.2,33495856.267,0,0,12793.5,7705.133,104931328,130625536,472367104,2481311744
1351505288.106,18.502,13.659,62.78,0.025,0,5.034,0,442231.467,1020670.6,33357941.867,0,0,12740.767,7665.167,104812544,130686976,485408768,2468327424
1351505318.106,18.232,13.849,62.836,0.042,0,5.041,0,443460.267,1022574.2,33420516.733,0,0,12768.233,7686.533,104894464,130752512,498466816,2455121920
1351505348.106,18.807,12.957,63.311,0.025,0,4.9,0,443733.333,1023354.1,4185247166.333,0,0,12768.467,7691,105066496,130813952,511533056,2441822208
1351505378.107,18.422,13.598,62.823,0.025,0,5.132,0,441958.4,1018846.033,33298022.333,0,0,12724.167,7653.667,104939520,130875392,524550144,2428870656
1351505408.107,24.308,13.792,57.142,0.067,0,4.692,1228.8,440183.467,949204.9,31009779.4,0,0,11940.933,7033.733,113188864,131022848,536829952,2408194048
1351505438.106,39.667,12.283,43.775,0.058,0,4.217,0,336554.667,761985.533,24826557.667,0,0,9808.933,5373.8,111636480,131080192,546562048,2399956992
