"epoch","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"epoch","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
1351608025.69,11.413,11.96,73.725,0.032,0.003,2.868,29080.68,304932.733,0,0,0,0,12638.363,5199.392,106045440,138948608,26865664,2917376000
1351608055.72,0,0,100,0,0,0,0,9966.933,38.2,14.467,0,0,26.467,14.7,106057728,138956800,26980352,2917240832
1351608085.72,2.559,3.095,93.463,0.017,0,0.867,0,134485.333,484107.233,12948844.933,0,0,6217.9,2950.7,105717760,139001856,31997952,2912518144
1351608115.718,4.346,5.295,89.118,0.033,0,1.207,0,288358.4,798073.433,21320277.2,0,0,10179.333,4844.567,105746432,139051008,40300544,2904137728
1351608145.718,4.346,5.265,89.161,0.033,0,1.195,0,288358.4,798538.3,4173133573.267,0,0,10189.7,4850.933,105590784,139108352,48906240,2895630336
1351608175.718,4.288,5.362,89.019,0.017,0,1.314,0,288085.333,797151.9,21295567,0,0,10170.1,4838.933,105644032,139165696,57049088,2887376896
1351608205.718,4.328,5.205,89.03,0.033,0,1.404,0,288221.867,797818,21312657.667,0,0,10180.533,4846.333,105594880,139214848,65429504,2878996480
1351608235.72,4.187,5.136,89.453,0.025,0,1.199,0,288494.933,798949.8,21343303,0,0,10189.233,4849.5,105869312,139272192,73859072,2870235136
1351608265.718,4.222,5.346,89.116,0.025,0.008,1.282,0,287539.2,797984.6,21317629.6,0,0,10184,4846.267,105803776,139325440,82210816,2861895680
1351608295.718,4.311,5.368,88.997,0.017,0,1.307,0,289177.6,797775.833,21311815.467,0,0,10174.367,4842.4,105881600,139378688,90619904,2853355520
1351608325.72,4.109,5.166,89.494,0.025,0,1.206,0,287266.133,798259.867,21325328.333,0,0,10186.233,4848.2,105365504,139436032,99205120,2845229056
1351608355.718,4.223,5.331,89.038,0.025,0.008,1.374,0,288768,797935.2,4173117324.8,0,0,10177.467,4843.267,105762816,139493376,107384832,2836594688
1351608385.718,4.376,5.341,88.928,0.025,0.008,1.323,0,287675.733,797782.267,21312068.333,0,0,10181.267,4844.633,105701376,139550720,115769344,2828214272
1351608415.72,4.297,5.321,89.233,0.025,0,1.124,0,288904.533,795344.233,21247241.667,0,0,10146.067,4827.467,105472000,139608064,124194816,2819960832
1351608445.718,4.357,5.25,89.208,0.033,0,1.152,0,287539.2,795259.167,21244884.333,0,0,10149.233,4828.7,105607168,139665408,132476928,2811486208
1351608475.72,4.478,5.307,88.947,0.025,0,1.244,0,288768,794084.1,21213060.333,0,0,10130.8,4819.733,105254912,139722752,140804096,2803453952
1351608505.721,4.418,5.343,88.946,0.025,0,1.267,0,257638.4,795947.967,21262859,0,0,10155.733,4832.233,105795584,139771904,149356544,2794311680
1351608535.718,4.54,5.351,88.796,0.025,0,1.288,0,270745.6,795277.1,21245179,0,0,10143.8,4827.2,105775104,139825152,157544448,2786091008
1351608565.718,4.56,5.134,89,0.033,0,1.273,0,287812.267,795428.3,4173051319.467,0,0,10149.933,4831.033,105754624,139882496,165888000,2777710592
1351608595.718,4.48,5.513,88.758,0.042,0,1.207,0,288494.933,794496.033,21224552.333,0,0,10134.533,4822.733,105762816,139939840,174235648,2769297408
1351608625.719,5.522,5.514,87.58,0.025,0,1.36,0,316347.733,789441.267,21088732.333,0,0,10097.5,4805.533,106045440,140079104,182550528,2760560640
1351608655.719,4.379,5.261,89.119,0.025,0,1.215,0,292864,794082.5,21213355,0,0,10132.2,4821.567,105689088,140136448,191102976,2752307200
1351608685.72,4.536,5.276,88.965,0.025,0,1.198,0,287266.133,796738.533,21284327.867,0,0,10167.867,4837.367,105758720,140181504,199266304,2744029184
1351608715.719,4.438,5.363,88.95,0.025,0,1.224,0,289587.2,796279,21271740.8,0,0,10157.633,4832.967,106090496,140238848,207638528,2735267840
1351608745.718,4.462,5.557,88.66,0.067,0,1.253,409.6,263509.333,787760.1,21044222.367,0,0,10077.333,4824,106463232,140324864,215908352,2726539264
1351608775.718,4.132,5.404,89.35,0.033,0,1.081,0,288768,794814.233,4173034523.467,0,0,10140.9,4823.8,106840064,140382208,224268288,2717745152
1351608805.72,4.519,5.3,88.859,0.025,0,1.296,0,288085.333,796602.2,21280833.667,0,0,10166.667,4836.733,106659840,140431360,232747008,2709397504
1351608835.718,4.276,5.37,89.167,0.025,0,1.161,0,288768,794991.9,21237517.667,0,0,10140.133,4824.733,106438656,140488704,241197056,2701111296
1351608865.718,4.112,5.294,89.312,0.025,0,1.257,0,287539.2,796844.733,21286727,0,0,10170.533,4838.6,106479616,140541952,249356288,2692857856
1351608895.718,4.722,5.271,88.749,0.025,0,1.233,0,288221.867,794360.233,21221016.333,0,0,10132.6,4822.267,106848256,140595200,257695744,2684096512
1351608925.72,4.553,5.084,89.086,0.017,0.008,1.252,0,287812.267,792312.2,21165913.667,0,0,10112.3,4811.967,106590208,140652544,266022912,2675970048
1351608955.72,4.271,5.345,89.068,0.025,0,1.29,0,289041.067,796143.567,4173070178.133,0,0,10155.367,4831.833,106647552,140701696,274296832,2667589632
1351608985.719,4.53,5.329,88.784,0.025,0,1.332,0,288085.333,794685.5,21229561.667,0,0,10144.267,4826.333,107044864,140750848,282738688,2658701312
1351609015.718,4.386,5.247,89.122,0.025,0,1.22,0,289587.2,793808.9,21205988.333,0,0,10126.733,4819.333,106471424,140808192,291094528,2650861568
1351609045.718,4.347,5.276,88.992,0.033,0,1.352,0,286993.067,790294,21111695,0,0,10090.267,4798.967,106897408,140865536,299405312,2642067456
1351609075.72,4.387,5.419,88.97,0.025,0,1.199,0,286446.933,794071.233,21212471,0,0,10131.467,4818.867,106393600,140922880,307724288,2634194944
1351609105.72,4.529,5.345,89.019,0.025,0,1.082,0,287266.133,793294.4,21192139,0,0,10126.933,4817.767,106098688,140972032,316096512,2626068480
1351609135.719,4.411,5.406,88.922,0.025,0,1.235,0,289996.8,795497.067,21251072.333,0,0,10148.1,4829.033,106491904,141029376,324628480,2617085952
1351609165.719,4.097,5.326,89.239,0.017,0,1.321,0,240162.133,796452.067,4173078723.467,0,0,10162.333,4835.367,106483712,141078528,333000704,2608672768
1351609195.72,4.247,5.305,89.241,0.017,0,1.191,0,288085.333,796187.267,21269341.667,0,0,10155.667,4831.8,106463232,141131776,341061632,2600579072
1351609225.72,6.016,5.55,87.01,0.033,0.008,1.381,0,318532.267,770610.367,20585736.333,0,0,9877.2,4689.533,106278912,141254656,349417472,2592284672
1351609255.718,4.603,5.28,88.881,0.033,0,1.203,0,287812.267,793649.367,21201568.333,0,0,10124.9,4815.733,106389504,141307904,357601280,2583937024
1351609285.718,4.38,5.379,88.817,0.033,0,1.391,0,287129.6,795593.6,21253977.2,0,0,10152.9,4830.567,105852928,141365248,365977600,2576039936
1351609315.72,4.9,5,88.864,0.008,0,1.227,0,287675.733,795641.6,21254944.8,0,0,10148.667,4828.4,106160128,141422592,374341632,2567311360
1351609345.72,4.389,5.206,89.08,0.033,0,1.291,0,288221.867,795597.533,21253682.533,0,0,10153.733,4830.867,106131456,141479936,382693376,2558930944
1351609375.719,3.978,5.618,89.022,0.025,0,1.357,0,287675.733,795481.467,4173052245.267,0,0,10145.4,4828.267,106237952,141529088,391045120,2550423552
1351609405.72,4.385,5.467,89.099,0.017,0,1.032,0,287948.8,795851.067,21260501.667,0,0,10156.533,4831.667,106242048,141586432,399396864,2542010368
1351609435.719,4.273,5.435,88.906,0.033,0,1.352,0,288631.467,793889.3,21208051,0,0,10129.733,4818.6,105447424,141643776,407752704,2534391808
1351609465.72,4.671,5.131,88.97,0.025,0,1.203,0,241390.933,795552.433,21252545.667,0,0,10151.367,4830.9,106037248,141688832,416133120,2525376512
1351609495.72,4.337,5.353,89.045,0.025,0,1.24,0,287948.8,794172.067,21215712.333,0,0,10131.7,4820.3,106168320,141746176,424452096,2516869120
1351609525.72,4.355,5.262,89.142,0.017,0,1.224,0,288358.4,794080,21213060.333,0,0,10135.7,4822.333,106385408,141803520,432812032,2508234752
1351609555.72,4.449,5.349,88.769,0.025,0,1.408,0,288768,794321.7,21219837.667,0,0,10132.267,4821.733,106221568,141860864,441139200,2500014080
1351609585.719,4.516,5.373,88.814,0.025,0,1.272,0,287812.267,796022.733,4173066895,0,0,10159.833,4832.633,106176512,141918208,449507328,2491633664
1351609615.718,4.43,5.366,88.959,0.017,0,1.229,0,287539.2,795794.9,21258775.467,0,0,10150.667,4830.233,106250240,141975552,457883648,2483126272
1351609645.718,4.395,5.249,89.071,0.033,0,1.252,0,288221.867,796635.233,21281717.667,0,0,10166.867,4837.433,106258432,142032896,466231296,2474713088
1351609675.718,4.612,5.319,88.812,0.033,0,1.224,0,288904.533,794052.533,21212471,0,0,10130.367,4820.733,106475520,142090240,474591232,2466078720
1351609705.718,4.596,5.223,88.953,0.025,0,1.203,0,287129.6,794814,21232508.333,0,0,10144.467,4826.867,106196992,142147584,482938880,2457952256
1351609735.718,4.643,5.307,88.648,0.025,0,1.376,0,287812.267,795640.867,21255197.667,0,0,10148.667,4828.4,106078208,142204928,491220992,2449731584
1351609765.718,4.438,5.204,89.027,0.017,0,1.315,0,289314.133,795461.433,4173051614.133,0,0,10152.267,4830.367,106057728,142262272,499564544,2441351168
1351609795.718,4.26,5.496,89.024,0.025,0,1.194,0,287266.133,792628.733,21174164.333,0,0,10113.5,4810.433,105918464,142315520,508190720,2432811008
1351609825.72,5.843,5.505,87.206,0.033,0,1.413,0,277708.8,771563.1,20611372.333,0,0,9885.033,4694.9,105861120,142446592,516091904,2424836096
1351609855.72,4.273,5.393,88.879,0.025,0,1.43,0,292044.8,794314.567,21219248.333,0,0,10132.633,4822.8,105914368,142503936,524648448,2416168960
1351609885.718,4.284,5.523,88.962,0.017,0,1.214,0,288631.467,795238.7,21244589.667,0,0,10149.467,4828,105832448,142561280,532791296,2408050688
1351609915.718,4.329,5.332,89.16,0.017,0,1.162,0,286037.333,791101.167,21133500.333,0,0,10095.733,4801.433,105971712,142618624,541102080,2399543296
1351609945.718,4.502,5.368,88.848,0.033,0.008,1.24,0,288221.867,795068.1,21239875,0,0,10145.367,4828.667,105893888,142675968,549376000,2391289856
1351609975.72,2.132,2.349,94.858,0.008,0,0.652,0,139537.067,359843.833,9612330.533,0,0,4602.867,2192.233,106033152,142704640,553398272,2387099648
1351610005.72,0,0,100,0,0,0,0,1501.867,43.067,7,0,0,25.067,16.433,106024960,142712832,553398272,2387099648
1351610035.72,0.008,0,99.992,0,0,0,0,546.133,42.2,8.4,0,0,23.4,14.433,106016768,142721024,553398272,2387099648
1351610065.718,6.723,8.14,81.485,0.033,0,3.619,0,355259.733,1073418.3,4180491666.267,0,0,15304.567,8158.033,105115648,142774272,564371456,2376974336
1351610095.718,9.75,11.983,73.156,0.041,0,5.069,0,538214.4,1508023.367,40286244.333,0,0,21389.067,11854.833,105439232,142835712,580239360,2360721408
1351610125.718,9.387,12.067,73.336,0.025,0,5.186,0,535483.733,1499847.9,40068490.067,0,0,21254.5,11800.2,105385984,142901248,596004864,2344943616
1351610155.718,9.483,11.848,73.526,0.041,0,5.101,0,533572.267,1494595.967,4191729650.133,0,0,21174.533,11772.8,105250816,142966784,611692544,2329325568
1351610185.718,9.591,11.964,73.51,0.05,0,4.886,0,535756.8,1503156.267,40156591,0,0,21263.7,11975.467,105709568,143032320,627515392,2312978432
1351610215.718,9.222,12.098,73.63,0.05,0,5,0,535893.333,1499231.767,40051647.867,0,0,21228.433,11898.367,105377792,143093760,643276800,2297487360
1351610245.719,9.24,11.694,73.876,0.05,0,5.14,0,534937.6,1494020.533,39912653.2,0,0,21184.433,11871,104718336,143159296,659148800,2282209280
1351610275.718,9.28,11.465,74.247,0.033,0,4.975,0,530705.067,1486389.333,4191510123.467,0,0,21083.067,12026.867,105205760,143220736,674598912,2266210304
1351610305.718,9.561,11.454,73.787,0.033,0,5.165,0,536849.067,1505495.067,40219355,0,0,21263.667,11874.767,105099264,143286272,690376704,2250473472
1351610335.718,9.097,12.154,73.717,0.033,0.008,4.99,0,443187.2,1495316.867,39947083,0,0,21147.267,11870.633,105340928,143331328,706088960,2234474496
