"Time" "Int" "rKB/s" "wKB/s" "rPk/s" "wPk/s" "rAvs" "wAvs" "%Util" "Sat"
"02:32:54 PM" "e1000g0" 29600.6 1061.8 21164.5 5814.1 1432.2 187 24.2 0
"02:33:24 PM" "e1000g0" 0.38 0.76 3.5 2.57 110 304.8 0 0
"02:33:54 PM" "e1000g0" 10798 416.1 7502.1 2492.7 1473.9 170.9 8.85 0
"02:34:24 PM" "e1000g0" 20840 806.7 14476.3 4830.6 1474.1 171 17.1 0
"02:34:54 PM" "e1000g0" 20874.9 801.1 14498.5 4833.9 1474.3 169.7 17.1 0
"02:35:24 PM" "e1000g0" 20798.5 798.2 14445.1 4815.8 1474.4 169.7 17 0
"02:35:54 PM" "e1000g0" 20842.9 804.6 14476.9 4829.3 1474.3 170.6 17.1 0
"02:36:24 PM" "e1000g0" 20850.9 798.9 14479.9 4827 1474.5 169.5 17.1 0
"02:36:54 PM" "e1000g0" 20841.6 809.5 14478.4 4832.9 1474 171.5 17.1 0
"02:37:24 PM" "e1000g0" 20839.5 798.2 14471.5 4823.7 1474.6 169.4 17.1 0
"02:37:54 PM" "e1000g0" 20834.9 798 14468.2 4822.6 1474.6 169.4 17.1 0
"02:38:24 PM" "e1000g0" 20839.3 798.2 14471.3 4823.8 1474.6 169.4 17.1 0
"02:38:54 PM" "e1000g0" 20844.1 798.4 14474.7 4824.7 1474.6 169.4 17.1 0
"02:39:24 PM" "e1000g0" 20760.6 795.2 14416.8 4805.5 1474.6 169.4 17 0
"02:39:54 PM" "e1000g0" 20763.2 795.3 14418.5 4806 1474.6 169.4 17 0
"02:40:24 PM" "e1000g0" 20747.9 794.7 14407.9 4802.4 1474.6 169.4 17 0
"02:40:54 PM" "e1000g0" 20776.7 795.8 14427.9 4809.2 1474.6 169.4 17 0
"02:41:24 PM" "e1000g0" 20771.6 795.6 14424.3 4807.9 1474.6 169.4 17 0
"02:41:54 PM" "e1000g0" 20768.2 795.5 14422 4807.2 1474.6 169.4 17 0
"02:42:24 PM" "e1000g0" 20743 794.5 14404.5 4801.3 1474.6 169.4 17 0
"02:42:54 PM" "e1000g0" 20598.6 789 14304.2 4767.9 1474.6 169.4 16.9 0
"02:43:24 PM" "e1000g0" 20738.3 794.3 14401.2 4800.2 1474.6 169.4 17 0
"02:43:54 PM" "e1000g0" 20799.5 796.7 14443.6 4814.4 1474.6 169.4 17 0
"02:44:24 PM" "e1000g0" 20797.2 796.6 14442.2 4813.9 1474.6 169.4 17 0
"02:44:54 PM" "e1000g0" 20584.6 788.4 14294.5 4764.7 1474.6 169.4 16.9 0
"02:45:24 PM" "e1000g0" 20739.9 794.4 14402.3 4800.5 1474.6 169.4 17 0
"02:45:54 PM" "e1000g0" 20784 796.1 14432.9 4810.9 1474.6 169.4 17 0
"02:46:24 PM" "e1000g0" 20777 795.8 14428.1 4809.2 1474.6 169.4 17 0
"02:46:54 PM" "e1000g0" 20787.4 796.2 14435.3 4811.6 1474.6 169.4 17 0
"02:47:24 PM" "e1000g0" 20775.6 795.7 14427 4808.8 1474.6 169.4 17 0
"02:47:54 PM" "e1000g0" 20688.9 792.4 14366.9 4788.7 1474.6 169.4 16.9 0
"02:48:24 PM" "e1000g0" 20777.3 795.8 14428.3 4809.2 1474.6 169.4 17 0
"02:48:54 PM" "e1000g0" 20754.4 794.9 14412.4 4804 1474.6 169.4 17 0
"02:49:24 PM" "e1000g0" 20736.9 794.3 14400.3 4800 1474.6 169.4 17 0
"02:49:54 PM" "e1000g0" 20637.3 790.4 14331.1 4776.8 1474.6 169.4 16.9 0
"02:50:24 PM" "e1000g0" 20735.3 794.2 14399.1 4799.6 1474.6 169.4 17 0
"02:50:54 PM" "e1000g0" 20705.3 793.1 14378.3 4792.6 1474.6 169.4 17 0
"02:51:24 PM" "e1000g0" 20768.8 795.5 14422.4 4807.3 1474.6 169.4 17 0
"02:51:54 PM" "e1000g0" 20793.9 796.4 14439.8 4813.1 1474.6 169.4 17 0
"02:52:24 PM" "e1000g0" 20791.2 796.3 14438 4812.6 1474.6 169.4 17 0
"02:52:54 PM" "e1000g0" 20126.7 770.9 13976.5 4658.7 1474.6 169.4 16.5 0
"02:53:24 PM" "e1000g0" 20732.7 794.1 14397.3 4798.9 1474.6 169.4 17 0
"02:53:54 PM" "e1000g0" 20774.2 795.7 14426.2 4808.6 1474.6 169.4 17 0
"02:54:24 PM" "e1000g0" 20752.6 794.9 14411.2 4803.6 1474.6 169.4 17 0
"02:54:54 PM" "e1000g0" 20794.9 796.5 14440.5 4813.3 1474.6 169.4 17 0
"02:55:24 PM" "e1000g0" 20763.2 795.3 14418.6 4806.1 1474.6 169.4 17 0
"02:55:54 PM" "e1000g0" 20789.3 796.3 14436.6 4812 1474.6 169.4 17 0
"02:56:24 PM" "e1000g0" 20736 794.2 14399.6 4799.7 1474.6 169.4 17 0
"02:56:54 PM" "e1000g0" 20776.5 795.8 14427.8 4809.1 1474.6 169.4 17 0
"02:57:24 PM" "e1000g0" 20738.7 794.3 14401.5 4800.4 1474.6 169.4 17 0
"02:57:54 PM" "e1000g0" 20729.8 794 14395.3 4798.2 1474.6 169.4 17 0
"02:58:24 PM" "e1000g0" 20748.5 794.7 14408.3 4802.6 1474.6 169.4 17 0
"02:58:54 PM" "e1000g0" 20773.6 795.7 14425.7 4808.4 1474.6 169.4 17 0
"02:59:24 PM" "e1000g0" 20785.1 796.1 14433.8 4811.2 1474.6 169.4 17 0
"02:59:54 PM" "e1000g0" 20801.8 796.7 14445.3 4815 1474.6 169.4 17 0
"03:00:24 PM" "e1000g0" 20738.7 794.3 14401.6 4800.3 1474.6 169.4 17 0
"03:00:54 PM" "e1000g0" 20750 794.8 14409.3 4802.9 1474.6 169.4 17 0
"03:01:24 PM" "e1000g0" 20777.9 795.8 14428.7 4809.4 1474.6 169.4 17 0
"03:01:54 PM" "e1000g0" 20780 795.9 14430.2 4809.9 1474.6 169.4 17 0
"03:02:24 PM" "e1000g0" 20684.1 792.2 14363.6 4787.7 1474.6 169.4 16.9 0
"03:02:54 PM" "e1000g0" 20153 771.9 13994.9 4665 1474.6 169.4 16.5 0
"03:03:24 PM" "e1000g0" 20736.3 794.2 14399.8 4799.7 1474.6 169.4 17 0
"03:03:54 PM" "e1000g0" 20769.5 795.5 14422.9 4807.5 1474.6 169.4 17 0
"03:04:24 PM" "e1000g0" 20654 797.2 14344.6 4785.4 1474.4 170.6 16.9 0
"03:04:54 PM" "e1000g0" 20761.3 795.9 14418.2 4806.5 1474.5 169.6 17 0
"03:05:24 PM" "e1000g0" 11224 430.2 7795 2598.3 1474.5 169.5 9.19 0
"03:05:54 PM" "e1000g0" 0.17 0.28 1.17 0.4 147.9 716.4 0 0
"03:06:24 PM" "e1000g0" 0.05 0.01 0.73 0.17 71.09 67.6 0 0
"03:06:54 PM" "e1000g0" 24547.1 939.7 17046.1 5673.8 1474.6 169.6 20.1 0
"03:07:24 PM" "e1000g0" 39350.7 1507.2 27325.9 9108.6 1474.6 169.4 32.2 0
"03:07:54 PM" "e1000g0" 39241.4 1503 27249.6 9083.1 1474.6 169.4 32.1 0
"03:08:24 PM" "e1000g0" 38988.9 1493.3 27074.3 9024.6 1474.6 169.4 31.9 0
"03:08:54 PM" "e1000g0" 39223.9 1502.4 27237.5 9079 1474.6 169.4 32.1 0
"03:09:24 PM" "e1000g0" 39259.3 1503.7 27262.2 9087.3 1474.6 169.4 32.2 0
"03:09:54 PM" "e1000g0" 39088.9 1497.2 27143.9 9047.8 1474.6 169.5 32 0
"03:10:24 PM" "e1000g0" 38702.6 1482.4 26875.6 8958.4 1474.6 169.4 31.7 0
