"epoch","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"epoch","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
1351523728.578,0.008,0,99.992,0,0,0,0,5051.733,44.667,14.467,0,0,42.7,53.5,110788608,123731968,73969664,2880745472
1351523758.578,5.509,3.556,89.788,0.532,0,0.615,272793.6,167116.8,238564.433,6408269.633,0,0,3393,1596.333,174399488,123772928,84189184,2806874112
1351523788.578,8.939,5.157,85.022,0.15,0,0.733,0,161382.4,278955.433,7487900.667,0,0,3943.033,1745.467,232116224,123822080,84197376,2749100032
1351523818.578,10.163,4.586,84.493,0.108,0,0.649,0,151142.4,232325.7,6235927.5,0,0,3381.367,1465.967,281366528,123871232,84197376,2699800576
1351523848.578,9.197,5.758,84.164,0.125,0,0.756,0,102809.6,216221.6,5807202,0,0,3300.833,1366.7,310251520,123912192,84197376,2670874624
1351523878.578,6.744,8.214,84.138,0,0,0.905,0,10103.467,217619.833,5850833.333,0,0,3521.033,1375.833,310370304,123920384,84197376,2670747648
1351523908.578,6.486,8.665,84.026,0,0,0.823,0,682.667,217962.767,5860001.433,0,0,3524.033,1375.367,310353920,123928576,84197376,2670755840
1351523938.575,6.647,8.134,84.405,0,0,0.814,0,1228.8,220559.033,5929569.6,0,0,3550.867,1393.667,310472704,123936768,84197376,2670628864
1351523968.575,6.566,8.451,84.202,0,0,0.78,0,1228.8,220511.6,5928144.767,0,0,3551.1,1390.733,310456320,123953152,84197376,2670628864
1351523998.575,6.75,8.427,84.034,0,0,0.789,0,1501.867,218601.9,5877410.033,0,0,3528.767,1382.267,310439936,123969536,84197376,2670628864
1351524028.575,8.103,8.634,82.368,0.008,0,0.887,0,23210.667,218313.267,5869045.833,0,0,3539.8,1388.6,311484416,124067840,84213760,2669469696
1351524058.575,6.604,8.373,84.226,0,0,0.797,0,1365.333,220060.6,4157718097.933,0,0,3547.4,1391.133,311468032,124084224,84213760,2669469696
