"Time" "Int" "rKB/s" "wKB/s" "rPk/s" "wPk/s" "rAvs" "wAvs" "%Util" "Sat"
"03:07:27 PM" "e1000g0" 30071.7 1064.7 20903.9 5705.5 1473.1 191.1 24.6 0
"03:07:58 PM" "e1000g0" 0.36 1.38 2.73 1.7 135 830.3 0 0
"03:08:28 PM" "e1000g0" 5332.4 205.6 3688.2 1227.9 1480.5 171.5 4.37 0
"03:08:58 PM" "e1000g0" 7488.8 291.8 5179.4 1730.2 1480.6 172.7 6.13 0
"03:09:28 PM" "e1000g0" 6173.8 240 4270 1426.3 1480.6 172.3 5.06 0
"03:09:58 PM" "e1000g0" 5687.8 218.2 3963.5 1311.1 1469.5 170.4 4.66 0
"03:10:28 PM" "e1000g0" 5725.4 221.8 4079 1319.9 1437.3 172.1 4.69 0
"03:10:58 PM" "e1000g0" 5719.2 217.6 4073.8 1315 1437.6 169.4 4.69 0
"03:11:28 PM" "e1000g0" 5808.2 221.2 4130.9 1335.9 1439.8 169.6 4.76 0
"03:11:58 PM" "e1000g0" 5788 220.2 4118.1 1331 1439.3 169.4 4.74 0
"03:12:27 PM" "e1000g0" 5759 219.1 4099.7 1324.5 1438.4 169.4 4.72 0
"03:12:57 PM" "e1000g0" 5751.3 218.8 4092.6 1322.3 1439 169.4 4.71 0
"03:13:27 PM" "e1000g0" 5760.4 219.2 4100.8 1324.4 1438.4 169.4 4.72 0
"03:13:57 PM" "e1000g0" 5779.8 220.1 4113.3 1329.4 1438.9 169.6 4.73 0
"03:14:27 PM" "e1000g0" 5815.8 221.7 4136.1 1337.7 1439.9 169.7 4.76 0
"03:14:57 PM" "e1000g0" 5759.2 219.3 4098.9 1324.7 1438.8 169.6 4.72 0
"03:15:27 PM" "e1000g0" 5751.6 219.2 4095.2 1322.9 1438.2 169.7 4.71 0
"03:15:57 PM" "e1000g0" 5797.9 221 4124.4 1333.6 1439.5 169.7 4.75 0
"03:16:27 PM" "e1000g0" 5744.7 219 4091 1321.2 1437.9 169.7 4.71 0
"03:16:57 PM" "e1000g0" 5761.8 219.2 4100.8 1324.9 1438.8 169.4 4.72 0
"03:17:27 PM" "e1000g0" 5756.5 219.2 4099.6 1323.9 1437.9 169.6 4.72 0
"03:17:57 PM" "e1000g0" 5723.2 218.2 4078.5 1316.5 1436.9 169.7 4.69 0
"03:18:27 PM" "e1000g0" 5771.2 219.8 4108.2 1327.2 1438.5 169.6 4.73 0
"03:18:57 PM" "e1000g0" 5771.4 219.8 4108.1 1327.6 1438.6 169.6 4.73 0
"03:19:27 PM" "e1000g0" 5792.4 220.8 4121 1332.6 1439.3 169.7 4.75 0
"03:19:57 PM" "e1000g0" 5748.6 218.9 4092.9 1321.9 1438.3 169.6 4.71 0
"03:20:27 PM" "e1000g0" 5776.5 220.2 4112.6 1329.1 1438.3 169.7 4.73 0
"03:20:57 PM" "e1000g0" 5806.3 221.2 4130.2 1335.6 1439.6 169.6 4.76 0
"03:21:27 PM" "e1000g0" 5807.5 221.2 4131.7 1335.7 1439.3 169.6 4.76 0
"03:21:57 PM" "e1000g0" 5812.9 221.6 4134.6 1337.2 1439.7 169.7 4.76 0
"03:22:27 PM" "e1000g0" 5758.2 219.5 4099.4 1324.3 1438.4 169.7 4.72 0
"03:22:57 PM" "e1000g0" 5790.1 220.8 4118.4 1331.9 1439.6 169.7 4.74 0
"03:23:27 PM" "e1000g0" 5758.2 219.5 4099.3 1324.7 1438.4 169.7 4.72 0
"03:23:57 PM" "e1000g0" 5755.2 219 4097.2 1323.4 1438.4 169.4 4.71 0
"03:24:27 PM" "e1000g0" 5769.7 219.5 4106.3 1326.5 1438.8 169.4 4.73 0
"03:24:57 PM" "e1000g0" 5774 222.9 4110.3 1330 1438.5 171.6 4.73 0
"03:25:27 PM" "e1000g0" 5769.5 219.5 4105.6 1326.5 1439 169.4 4.73 0
"03:25:57 PM" "e1000g0" 5799.8 220.7 4125 1333.7 1439.8 169.4 4.75 0
"03:26:27 PM" "e1000g0" 5767.5 219.4 4104.4 1326.1 1438.9 169.4 4.72 0
"03:26:57 PM" "e1000g0" 5746.2 218.6 4090.6 1321.1 1438.4 169.4 4.71 0
"03:27:27 PM" "e1000g0" 5775 219.7 4109.4 1327.8 1439 169.4 4.73 0
"03:27:57 PM" "e1000g0" 5764.4 219.3 4102.7 1325.3 1438.7 169.4 4.72 0
"03:28:27 PM" "e1000g0" 5778.5 219.8 4111.8 1328.6 1439.1 169.4 4.73 0
"03:28:57 PM" "e1000g0" 5769.9 219.5 4106.6 1326.8 1438.7 169.4 4.73 0
"03:29:27 PM" "e1000g0" 5780.2 219.9 4112.8 1329 1439.1 169.4 4.74 0
"03:29:57 PM" "e1000g0" 5726.4 217.8 4078.7 1316.5 1437.7 169.4 4.69 0
"03:30:27 PM" "e1000g0" 5791.6 220.3 4119.9 1331.6 1439.5 169.4 4.74 0
"03:30:57 PM" "e1000g0" 5738.3 218.3 4085.4 1319.4 1438.3 169.4 4.7 0
"03:31:27 PM" "e1000g0" 5777.3 219.8 4110.5 1328.4 1439.2 169.4 4.73 0
"03:31:57 PM" "e1000g0" 5736.1 218.2 4084.5 1318.8 1438.1 169.4 4.7 0
"03:32:27 PM" "e1000g0" 5831.2 221.9 4145.7 1340.8 1440.3 169.4 4.78 0
"03:32:57 PM" "e1000g0" 5744.6 218.6 4087 1320.8 1439.3 169.4 4.71 0
"03:33:27 PM" "e1000g0" 5756.2 219 4096.7 1323.4 1438.8 169.4 4.72 0
"03:33:57 PM" "e1000g0" 5753.6 218.9 4096.2 1323 1438.3 169.4 4.71 0
"03:34:27 PM" "e1000g0" 5766.9 219.4 4103.9 1325.9 1438.9 169.4 4.72 0
"03:34:57 PM" "e1000g0" 5741 218.4 4087.5 1320.1 1438.2 169.4 4.7 0
"03:35:27 PM" "e1000g0" 5772.2 219.6 4108.3 1327.1 1438.7 169.4 4.73 0
"03:35:57 PM" "e1000g0" 5768.5 219.5 4106 1326.3 1438.6 169.4 4.73 0
"03:36:27 PM" "e1000g0" 5750.6 218.8 4094.4 1322.2 1438.2 169.4 4.71 0
