"epoch","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"epoch","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
1351443437.464,9.809,10.305,77.247,0.031,0.003,2.605,47935.693,280560.949,0,0,0,0,11357.793,5989.309,105734144,84455424,31195136,2967851008
1351443467.494,0.017,0.008,99.975,0,0,0,0,1228.8,50.867,14.467,0,0,51.367,72.067,105504768,84463616,31416320,2967851008
1351443497.494,1.586,1.667,96.278,0.267,0,0.202,273066.667,130935.467,528014.233,14096519.267,0,0,6639.567,3367.1,114135040,84508672,44113920,2946478080
1351443527.494,2.446,3.389,94.069,0.032,0,0.064,0,293683.2,993342.5,26506489.667,0,0,12120.433,6141.2,114200576,84566016,52752384,2937716736
1351443557.494,2.41,3.407,94.103,0.024,0,0.056,0,295048.533,4152795232.867,26510021.667,0,0,12119.767,6139.867,114262016,84623360,61394944,2928955392
1351443587.494,2.539,3.438,93.936,0.024,0,0.064,0,295321.6,994245.967,26530625,0,0,12132.633,6146.033,114343936,84680704,70111232,2920099840
1351443617.494,3.606,3.135,93.091,0.04,0,0.128,0,340104.533,994283.367,4178332665.533,0,0,12163.233,6155.9,114388992,84811776,78696448,2911338496
1351443647.494,2.496,3.374,94.034,0.016,0,0.08,0,253405.867,994452.733,26536175.867,0,0,12139.2,6157.467,115060736,84869120,87269376,2902036480
1351443677.47,2.459,3.186,94.283,0.008,0,0.064,0,295321.6,993969.133,26523013.8,0,0,12128.4,6151.667,115179520,84926464,95973376,2893156352
1351443707.474,2.471,3.281,94.145,0.024,0,0.08,0,295048.533,994093.8,26526210,0,0,12132.233,6158,115191808,84983808,104665088,2884395008
1351443737.494,2.465,3.413,94.052,0.024,0,0.047,0,295048.533,995405.167,26561488.533,0,0,12153.9,6172.067,115027968,85041152,113278976,2875887616
1351443767.494,2.277,3.296,94.323,0.024,0,0.08,0,294502.4,994608.9,26540085.133,0,0,12141.267,6168.233,115068928,85098496,121909248,2867159040
1351443797.494,2.425,3.22,94.299,0.016,0,0.04,0,295048.533,994734.6,4178344960.333,0,0,12139.3,6161.8,114327552,85155840,130625536,2859126784
