"Time" "Int" "rKB/s" "wKB/s" "rPk/s" "wPk/s" "rAvs" "wAvs" "%Util" "Sat"
"04:49:50 PM" "e1000g0" 24244.8 865.5 16874.3 4701.4 1471.3 188.5 19.9 0
"04:50:20 PM" "e1000g0" 0.55 2.56 2.87 2.77 196.8 947.3 0 0
"04:50:50 PM" "e1000g0" 12337.1 479.8 8580 2860.6 1472.4 171.8 10.1 0
"04:51:20 PM" "e1000g0" 25894.5 994.2 18002.9 6001.9 1472.9 169.6 21.2 0
"04:51:50 PM" "e1000g0" 25912.1 995.9 18015.7 6006.6 1472.8 169.8 21.2 0
"04:52:20 PM" "e1000g0" 25939.3 995 18033.8 6011.6 1472.9 169.5 21.2 0
"04:52:50 PM" "e1000g0" 25930.7 994.6 18027.6 6009.2 1472.9 169.5 21.2 0
"04:53:20 PM" "e1000g0" 25941.1 995 18034.8 6011.7 1472.9 169.5 21.3 0
"04:53:50 PM" "e1000g0" 25939.8 994.9 18033.8 6011.3 1472.9 169.5 21.2 0
"04:54:20 PM" "e1000g0" 25929.7 994.5 18026.8 6008.9 1472.9 169.5 21.2 0
"04:54:50 PM" "e1000g0" 25948.1 995.2 18039.7 6013.3 1472.9 169.5 21.3 0
"04:55:20 PM" "e1000g0" 25941.1 994.7 18034.4 6011.3 1472.9 169.4 21.3 0
"04:55:50 PM" "e1000g0" 25942.6 994.8 18035.5 6011.8 1472.9 169.4 21.3 0
"04:56:20 PM" "e1000g0" 25930.5 994.3 18027 6009 1472.9 169.4 21.2 0
"04:56:50 PM" "e1000g0" 25946.3 994.9 18038 6012.5 1472.9 169.4 21.3 0
"04:57:20 PM" "e1000g0" 25932.2 994.4 18028.2 6009.3 1472.9 169.4 21.2 0
"04:57:50 PM" "e1000g0" 25955.2 995.3 18044.4 6014.6 1472.9 169.4 21.3 0
"04:58:20 PM" "e1000g0" 25939.1 994.6 18033.2 6011 1472.9 169.4 21.2 0
"04:58:50 PM" "e1000g0" 25944.9 994.9 18037.1 6012.2 1472.9 169.4 21.3 0
"04:59:20 PM" "e1000g0" 25930.8 994.3 18027.3 6008.9 1472.9 169.4 21.2 0
"04:59:50 PM" "e1000g0" 25944.3 994.9 18036.6 6012.1 1472.9 169.4 21.3 0
"05:00:20 PM" "e1000g0" 25927.1 994.2 18024.7 6008.2 1472.9 169.4 21.2 0
"05:00:50 PM" "e1000g0" 25960.1 995.5 18047.7 6015.7 1472.9 169.4 21.3 0
"05:01:20 PM" "e1000g0" 25938.3 994.6 18032.4 6010.7 1472.9 169.4 21.2 0
"05:01:50 PM" "e1000g0" 25955.5 995.3 18044.4 6014.6 1472.9 169.4 21.3 0
"05:02:20 PM" "e1000g0" 25943.4 994.8 18036 6011.8 1472.9 169.4 21.3 0
"05:02:50 PM" "e1000g0" 25938.2 996 18033.8 6012.1 1472.8 169.6 21.2 0
"05:03:20 PM" "e1000g0" 25908.6 993.7 18012.2 6004.2 1472.9 169.5 21.2 0
"05:03:50 PM" "e1000g0" 25939.4 994.9 18033.8 6011.2 1472.9 169.5 21.2 0
"05:04:20 PM" "e1000g0" 25946.6 995.2 18038.7 6012.8 1472.9 169.5 21.3 0
"05:04:50 PM" "e1000g0" 25941.6 995 18035 6011.7 1472.9 169.5 21.3 0
"05:05:20 PM" "e1000g0" 25940.7 995 18034.4 6011.5 1472.9 169.5 21.3 0
"05:05:50 PM" "e1000g0" 25937.2 994.8 18032 6010.6 1472.9 169.5 21.2 0
"05:06:20 PM" "e1000g0" 25959.2 995.7 18047.3 6015.9 1472.9 169.5 21.3 0
"05:06:50 PM" "e1000g0" 25937.7 994.8 18032.4 6010.8 1472.9 169.5 21.2 0
