"epoch","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"epoch","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
1351543742.516,12.556,12.88,71.629,0.032,0.003,2.901,34367.962,315965.911,0,0,0,0,11903.256,6034.414,105828352,135766016,86519808,2861121536
1351543772.546,0,0,100,0,0,0,0,1228.8,48.867,14.467,0,0,20.367,9.633,105824256,135774208,86523904,2861113344
1351543802.543,3.206,2.626,92.601,0,0,1.566,0,1365.333,356352.6,10156843.267,0,0,5120.133,2693.233,111833088,135782400,86523904,2855096320
1351543832.543,5.699,4.915,86.528,0.008,0,2.849,0,17749.333,696664.833,19855080,0,0,9912.833,5237.167,105865216,135872512,86536192,2860961792
1351543862.543,5.017,4.867,87.358,0,0,2.758,0,4369.067,716382.8,20419253.367,0,0,10168,5386.667,106618880,135880704,86536192,2860199936
1351543892.543,4.925,4.841,87.501,0,0,2.733,0,682.667,712667.1,20313676.2,0,0,10118.067,5263.367,107110400,135888896,86536192,2859700224
1351543922.543,5.266,4.966,86.759,0,0,3.008,0,546.133,722146.667,4172385870.867,0,0,10241.2,5087.5,107483136,135897088,86536192,2859319296
1351543952.543,4.958,5.116,87.268,0.033,0,2.625,409.6,16930.133,687170.767,19587415.6,0,0,9798.7,4927.967,107417600,135958528,86540288,2859319296
1351543982.543,4.983,5.057,87.177,0,0,2.783,0,4232.533,726005.4,20694515.2,0,0,10291.833,5171.133,107409408,135966720,86540288,2859319296
1351544012.543,5.075,4.875,87.143,0,0,2.908,0,546.133,725770.067,20686904,0,0,10285.967,5165.8,107528192,135974912,86540288,2859192320
1351544042.543,5.05,5.058,86.983,0,0,2.908,0,682.667,734724.933,20943035.4,0,0,10401.5,5225.733,107646976,135983104,86540288,2859065344
1351544072.543,5.092,5.092,87.033,0,0,2.783,0,546.133,726907.1,20719691.433,0,0,10300.633,5173.267,107638784,135991296,86540288,2859065344
1351544102.543,5.25,5.091,86.768,0,0,2.891,0,682.667,730210.9,20813649.133,0,0,10344.1,5195.867,107503616,135999488,86540288,2859192320
1351544132.543,5.399,5.174,86.386,0,0,3.041,0,546.133,724654.467,4172457305.233,0,0,10271.9,5139.533,107622400,136007680,86540288,2859065344
1351544162.543,5.066,4.933,87.101,0,0.008,2.891,0,682.667,720338.6,20532734.467,0,0,10218.1,5109.133,107614208,136015872,86540288,2859065344
1351544192.543,5.033,5.233,86.942,0,0,2.792,0,546.133,721797.367,20574680.867,0,0,10234.767,5107.467,107606016,136024064,86540288,2859065344
1351544222.543,5.166,5.016,87.102,0,0,2.716,0,682.667,694096.033,19784420.4,0,0,9882.667,4938.967,107851776,136032256,86540288,2858811392
1351544252.543,4.958,4.933,87.225,0,0,2.883,0,546.133,706677.767,20143013.367,0,0,10041.8,5036.133,107716608,136040448,86540288,2858938368
1351544282.543,5.183,5.25,86.834,0,0,2.733,0,682.667,716232.167,20414952.8,0,0,10165.3,5084.633,107835392,136048640,86540288,2858811392
1351544312.543,5.141,5.207,86.811,0,0,2.841,0,546.133,714431.967,20364705.533,0,0,10141.167,5038.6,107831296,136052736,86540288,2858811392
1351544342.543,5.258,4.966,86.993,0,0,2.783,0,682.667,718903.167,4172293857.267,0,0,10200.067,5081.767,107700224,136056832,86540288,2858938368
1351544372.543,4.9,5.025,87.218,0,0,2.858,0,546.133,721848.6,20575375.833,0,0,10235.7,5128.7,107692032,136065024,86540288,2858938368
1351544402.543,6.117,5.05,86.099,0,0,2.734,0,682.667,709164.233,20214143.8,0,0,10075.6,5064.367,114839552,136069120,86540288,2851786752
1351544432.543,5.807,5.182,86.094,0,0,2.916,0,18432,721364.8,20561926.733,0,0,10232.367,5139.467,108351488,136159232,86556672,2858168320
1351544462.543,5.142,5.258,86.75,0,0,2.85,0,3959.467,726379.3,20703586.067,0,0,10295.567,5170.5,108343296,136167424,86556672,2858168320
1351544492.542,5.042,5.067,87.192,0,0,2.7,0,682.667,711496.333,20280590,0,0,10103.167,5067.533,108199936,136175616,86556672,2858303488
1351544522.542,5.016,4.683,87.701,0,0,2.6,0,546.133,666790.233,19006349.267,0,0,9533.333,4780.6,108191744,136183808,86556672,2858303488
1351544552.542,5.283,5.158,86.667,0,0,2.892,0,682.667,729474.833,4172594879.533,0,0,10333.167,5185.267,108183552,136192000,86556672,2858303488
1351544582.542,4.883,4.733,87.684,0,0,2.7,0,546.133,693245.167,19760414.9,0,0,9871.5,4948.333,108302336,136200192,86556672,2858176512
1351544612.542,5.083,4.941,87.059,0,0,2.916,0,682.667,724253.167,20644451.533,0,0,10266.367,5158.733,108298240,136204288,86556672,2858176512
1351544642.542,5.091,5.15,86.909,0,0,2.85,0,546.133,717414.867,20449495.433,0,0,10176.6,5109,108290048,136212480,86556672,2858176512
1351544672.542,5.158,5.358,86.501,0,0,2.983,0,682.667,721881.1,20576836.667,0,0,10235.9,5134.467,108281856,136220672,86556672,2858176512
1351544702.542,5.158,4.933,87.009,0,0,2.9,0,546.133,719159.033,20498836.333,0,0,10202.933,5122.2,108273664,136228864,86556672,2858176512
1351544732.542,5.117,4.983,86.95,0,0,2.95,0,682.667,723803.2,20631708,0,0,10260.567,5148.033,108392448,136237056,86556672,2858049536
1351544762.542,5.358,5.158,86.859,0,0,2.625,0,546.133,719281.2,4172304495.467,0,0,10204.633,5117.133,108384256,136245248,86556672,2858049536
1351544792.542,5.274,5.341,86.444,0,0,2.941,0,682.667,723424.867,20620163.433,0,0,10255.3,5144.367,108249088,136253440,86556672,2858176512
1351544822.542,5.5,5.216,86.551,0,0,2.733,0,546.133,718847.833,20490185.967,0,0,10199.3,5117.433,108240896,136261632,86556672,2858176512
1351544852.542,5.3,5.008,86.933,0,0,2.758,0,682.667,728922.9,20776775.9,0,0,10325.733,5183.7,108359680,136269824,86556672,2858049536
1351544882.542,5.267,5.192,86.717,0,0,2.825,0,546.133,721587.467,20568153.6,0,0,10233.9,5131.633,108351488,136278016,86556672,2858049536
1351544912.542,5.291,5.075,86.868,0,0,2.766,0,682.667,721322.7,20560920.333,0,0,10228.767,5139.9,108220416,136282112,86556672,2858176512
1351544942.542,5.45,5.167,86.5,0,0,2.883,0,546.133,724279.767,20645045.433,0,0,10268.9,5145.867,108212224,136290304,86556672,2858176512
1351544972.542,5.058,4.95,87.176,0,0,2.816,0,682.667,709514.967,4172026109.233,0,0,10077.6,5058.867,108331008,136298496,86556672,2858049536
1351545002.542,6.099,5.016,86.061,0,0,2.825,0,546.133,707497.9,20166424.967,0,0,10054.4,5052.3,114458624,136306688,86556672,2851913728
1351545032.543,5.599,4.991,86.477,0.017,0,2.916,0,21708.8,714085.567,20353801.533,0,0,10140.567,5094.067,108228608,136392704,86573056,2858041344
1351545062.543,5.158,4.842,87.033,0,0,2.967,0,546.133,720828.1,20546681.067,0,0,10224.267,5131.467,108220416,136400896,86573056,2858041344
1351545092.543,5.175,4.975,86.784,0,0,3.066,0,682.667,718417.6,20477893,0,0,10191.9,5109.467,108081152,136404992,86573056,2858176512
1351545122.542,5.233,5.092,86.783,0,0,2.892,0,546.133,727458.3,20735598.2,0,0,10309.333,5179.267,108072960,136413184,86573056,2858176512
1351545152.542,5.275,4.975,86.858,0,0,2.892,0,682.667,718448.567,20478960.6,0,0,10192.433,5107.867,108068864,136417280,86573056,2858176512
1351545182.542,5.291,5.283,86.493,0,0,2.933,0,546.133,725220.1,4172472232.233,0,0,10279.7,5161.1,108187648,136425472,86573056,2858049536
1351545212.542,5.349,5.032,86.669,0,0,2.95,0,1365.333,708844.367,20204775.333,0,0,10069.533,5047.3,108048384,136433664,86577152,2858176512
1351545242.542,4.891,5.066,87.093,0,0.008,2.941,0,546.133,706497.667,20138329.133,0,0,10040.8,5037.933,108040192,136441856,86577152,2858176512
1351545272.542,5.217,4.925,86.958,0,0,2.9,0,682.667,724047.267,20638699.7,0,0,10263.8,5159.267,108032000,136450048,86577152,2858176512
1351545302.542,5.033,4.983,87.008,0,0,2.975,0,546.133,723671.367,20627668.267,0,0,10260.833,5141.9,108150784,136458240,86577152,2858049536
1351545332.542,5.091,4.966,87.176,0,0,2.766,0,682.667,723159.367,20613142,0,0,10252.6,5133.033,108015616,136466432,86577152,2858176512
1351545362.542,5.125,4.992,87.05,0,0,2.833,0,546.133,729756.067,20801359,0,0,10338.4,5195.267,108134400,136474624,86577152,2858049536
1351545392.542,4.933,5.207,86.944,0,0,2.916,0,682.667,726582.033,4172512618.067,0,0,10296.633,5158.8,107999232,136482816,86577152,2858176512
