"Time" "Int" "rKB/s" "wKB/s" "rPk/s" "wPk/s" "rAvs" "wAvs" "%Util" "Sat"
"20:41:37" "e1000g0" 28541.9 1011 19907.3 5424.7 1468.1 190.8 23.4 0
"20:42:07" "e1000g0" 0.56 2.61 2.73 2.77 211.5 967.5 0 0
"20:42:37" "e1000g0" 11538.4 416 8379.1 2215.9 1410.1 192.3 9.45 0
"20:43:07" "e1000g0" 19793.7 716.7 14372.7 3803 1410.2 193 16.2 0
"20:43:37" "e1000g0" 19964.5 718.8 14495.7 3832.1 1410.3 192.1 16.4 0
"20:44:07" "e1000g0" 19891.8 711.9 14441.9 3814.9 1410.4 191.1 16.3 0
"20:44:37" "e1000g0" 20136.4 720.7 14619.6 3862 1410.4 191.1 16.5 0
"20:45:07" "e1000g0" 19165.8 685.9 13914.7 3675.5 1410.4 191.1 15.7 0
"20:45:37" "e1000g0" 20257.5 725 14707.4 3885.2 1410.4 191.1 16.6 0
"20:46:07" "e1000g0" 20236.3 724.3 14691.8 3881.1 1410.4 191.1 16.6 0
"20:46:37" "e1000g0" 20352.5 728.4 14776.5 3903.5 1410.4 191.1 16.7 0
"20:47:07" "e1000g0" 20284.3 726 14726.8 3890 1410.4 191.1 16.6 0
"20:47:37" "e1000g0" 20450.8 732.3 14848.4 3922.7 1410.4 191.2 16.8 0
"20:48:07" "e1000g0" 20212.9 723.5 14675.7 3877.1 1410.4 191.1 16.6 0
"20:48:37" "e1000g0" 20065.6 718.2 14568 3848.2 1410.4 191.1 16.4 0
"20:49:07" "e1000g0" 20130.7 720.5 14615.4 3860.9 1410.4 191.1 16.5 0
"20:49:37" "e1000g0" 19262 689.4 13984.5 3694 1410.4 191.1 15.8 0
"20:50:07" "e1000g0" 19782.2 708 14362.4 3794 1410.4 191.1 16.2 0
"20:50:37" "e1000g0" 19743 706.6 14333.8 3786.6 1410.4 191.1 16.2 0
"20:51:07" "e1000g0" 20150.4 721.2 14629.5 3864.5 1410.4 191.1 16.5 0
"20:51:37" "e1000g0" 20027.4 716.8 14540.3 3841 1410.4 191.1 16.4 0
"20:52:07" "e1000g0" 20054.6 717.8 14560.1 3846.1 1410.4 191.1 16.4 0
"20:52:37" "e1000g0" 19639.7 702.9 14258.9 3766.6 1410.4 191.1 16.1 0
"20:53:07" "e1000g0" 20234.2 724.2 14690.4 3880.7 1410.4 191.1 16.6 0
"20:53:37" "e1000g0" 20338.3 727.9 14766.2 3900.5 1410.4 191.1 16.7 0
"20:54:07" "e1000g0" 19667.4 703.9 14279 3772 1410.4 191.1 16.1 0
"20:54:37" "e1000g0" 18760.2 671.5 13620.4 3598 1410.4 191.1 15.4 0
"20:55:07" "e1000g0" 20148 721.1 14627.7 3864 1410.4 191.1 16.5 0
"20:55:37" "e1000g0" 19514 698.4 14167.5 3742.3 1410.4 191.1 16 0
"20:56:07" "e1000g0" 20192.5 722.7 14660.1 3872.7 1410.4 191.1 16.5 0
"20:56:37" "e1000g0" 19973.7 714.9 14501.3 3830.7 1410.4 191.1 16.4 0
"20:57:07" "e1000g0" 20144.4 721 14625.2 3863.3 1410.4 191.1 16.5 0
"20:57:37" "e1000g0" 19981.4 715.1 14506.8 3832 1410.4 191.1 16.4 0
"20:58:07" "e1000g0" 20245.2 724.6 14698.4 3882.7 1410.4 191.1 16.6 0
"20:58:37" "e1000g0" 20064.8 718.1 14567.3 3848 1410.4 191.1 16.4 0
"20:59:07" "e1000g0" 20145 721 14625.8 3863.6 1410.4 191.1 16.5 0
"20:59:37" "e1000g0" 20058.3 717.8 14562.9 3846.8 1410.4 191.1 16.4 0
"21:00:07" "e1000g0" 20276.7 725.7 14721.3 3888.7 1410.4 191.1 16.6 0
"21:00:37" "e1000g0" 20163 721.6 14638.7 3867 1410.4 191.1 16.5 0
"21:01:07" "e1000g0" 20042.2 717.3 14551 3843.8 1410.4 191.1 16.4 0
"21:01:37" "e1000g0" 20261.2 725.1 14709.8 3885.5 1410.4 191.1 16.6 0
"21:02:07" "e1000g0" 19717.2 705.7 14315.2 3781.5 1410.4 191.1 16.2 0
"21:02:37" "e1000g0" 19550.6 699.7 14194.1 3749.6 1410.4 191.1 16 0
"21:03:07" "e1000g0" 20108.3 719.7 14599.2 3856.7 1410.4 191.1 16.5 0
"21:03:37" "e1000g0" 20126.9 720.3 14612.4 3860 1410.4 191.1 16.5 0
"21:04:07" "e1000g0" 20032.7 717 14544.3 3842.1 1410.4 191.1 16.4 0
"21:04:37" "e1000g0" 20280.7 725.8 14724.1 3889.4 1410.4 191.1 16.6 0
"21:05:07" "e1000g0" 20021.3 716.6 14535.7 3839.6 1410.4 191.1 16.4 0
"21:05:37" "e1000g0" 19892.5 712 14442.6 3815 1410.4 191.1 16.3 0
"21:06:07" "e1000g0" 20093.1 719.2 14588 3853.7 1410.4 191.1 16.5 0
"21:06:37" "e1000g0" 19705.8 705.3 14306.6 3779 1410.4 191.1 16.1 0
"21:07:07" "e1000g0" 20165 721.7 14640.4 3867.6 1410.4 191.1 16.5 0
"21:07:37" "e1000g0" 20107.7 719.7 14598.6 3856.5 1410.4 191.1 16.5 0
"21:08:07" "e1000g0" 20247.2 724.6 14699.8 3883 1410.4 191.1 16.6 0
"21:08:37" "e1000g0" 20316.5 727.1 14750 3896.3 1410.4 191.1 16.6 0
"21:09:07" "e1000g0" 20277.8 725.7 14722.1 3889 1410.4 191.1 16.6 0
"21:09:37" "e1000g0" 20346.5 728.2 14771.8 3901.9 1410.4 191.1 16.7 0
"21:10:07" "e1000g0" 20072.2 718.4 14572.9 3849.6 1410.4 191.1 16.4 0
"21:10:37" "e1000g0" 20193 722.7 14660.4 3872.6 1410.4 191.1 16.5 0
"21:11:07" "e1000g0" 19999.5 715.8 14520.1 3835.7 1410.4 191.1 16.4 0
"21:11:37" "e1000g0" 20054.5 717.8 14560.2 3846.4 1410.4 191.1 16.4 0
"21:12:07" "e1000g0" 20300.7 726.6 14738.6 3893.3 1410.4 191.1 16.6 0
"21:12:37" "e1000g0" 19804.8 708.8 14378.7 3798.1 1410.4 191.1 16.2 0
"21:13:07" "e1000g0" 20042.2 717.3 14551 3843.7 1410.4 191.1 16.4 0
"21:13:37" "e1000g0" 19884.7 711.7 14436.6 3813.4 1410.4 191.1 16.3 0
"21:14:07" "e1000g0" 9181.6 328.8 6666.7 1761.3 1410.3 191.1 7.52 0
"21:14:37" "e1000g0" 0.17 0.3 1.07 0.5 160.4 608.4 0 0
"21:15:07" "e1000g0" 0.1 0.1 0.93 0.23 107.9 431.3 0 0
"21:15:37" "e1000g0" 23006.2 823.1 16702.5 4412 1410.5 191 18.8 0
"21:16:07" "e1000g0" 40809.8 1460 29627.2 7825.9 1410.5 191 33.4 0
"21:16:37" "e1000g0" 41258.8 1476.1 29953.4 7912.4 1410.5 191 33.8 0
"21:17:07" "e1000g0" 40854.7 1461.6 29659.9 7834.4 1410.5 191 33.5 0
"21:17:37" "e1000g0" 40995.9 1466.7 29762.7 7861.7 1410.5 191 33.6 0
"21:18:07" "e1000g0" 40957.8 1465.3 29734.5 7854 1410.5 191 33.6 0
"21:18:37" "e1000g0" 41046.4 1468.5 29799.1 7871.6 1410.5 191 33.6 0
"21:19:07" "e1000g0" 40941.5 1464.8 29723.1 7851.3 1410.5 191 33.5 0
"21:19:37" "e1000g0" 40926.2 1464.2 29711.7 7848.1 1410.5 191 33.5 0
"21:20:07" "e1000g0" 40959.1 1465.4 29735.8 7854.6 1410.5 191 33.6 0
"21:20:37" "e1000g0" 41025.3 1467.8 29783.7 7867.4 1410.5 191 33.6 0
"21:21:07" "e1000g0" 40901.8 1463.3 29694 7843.4 1410.5 191 33.5 0
"21:21:37" "e1000g0" 40940.6 1464.7 29722.3 7851.2 1410.5 191 33.5 0
"21:22:07" "e1000g0" 41037.2 1468.1 29792.3 7869.4 1410.5 191 33.6 0
"21:22:37" "e1000g0" 40610.3 1452.9 29482.6 7787.7 1410.5 191 33.3 0
"21:23:07" "e1000g0" 41152 1472.3 29875.7 7891.5 1410.5 191 33.7 0
"21:23:37" "e1000g0" 41193.8 1473.8 29906.5 7899.9 1410.5 191 33.7 0
"21:24:07" "e1000g0" 41044.7 1468.4 29797.9 7871 1410.5 191 33.6 0
"21:24:37" "e1000g0" 41024 1467.7 29782.8 7867 1410.5 191 33.6 0
"21:25:07" "e1000g0" 40945.7 1464.9 29725.8 7851.8 1410.5 191 33.5 0
"21:25:37" "e1000g0" 41036.8 1468.2 29792.2 7869.6 1410.5 191 33.6 0
"21:26:07" "e1000g0" 41243.9 1475.6 29942.4 7909.3 1410.5 191 33.8 0
"21:26:37" "e1000g0" 41047.5 1468.6 29799.9 7871.7 1410.5 191 33.6 0
"21:27:07" "e1000g0" 41127.7 1471.4 29857.9 7886.6 1410.5 191 33.7 0
"21:27:37" "e1000g0" 41096.1 1470.3 29835.3 7881.1 1410.5 191 33.7 0
"21:28:07" "e1000g0" 41141.4 1471.9 29868.2 7889.7 1410.5 191 33.7 0
"21:28:37" "e1000g0" 41089.8 1470.1 29830.6 7879.8 1410.5 191 33.7 0
"21:29:07" "e1000g0" 40904 1463.4 29695.7 7843.8 1410.5 191 33.5 0
"21:29:37" "e1000g0" 40771.5 1458.7 29599.8 7818.7 1410.5 191 33.4 0
"21:30:07" "e1000g0" 40894.9 1463.1 29689.1 7842.2 1410.5 191 33.5 0
"21:30:37" "e1000g0" 40848.2 1461.4 29655.2 7833.4 1410.5 191 33.5 0
"21:31:07" "e1000g0" 41121.8 1471.2 29853.8 7885.9 1410.5 191 33.7 0
"21:31:37" "e1000g0" 41037.4 1468.2 29792.4 7869.5 1410.5 191 33.6 0
"21:32:07" "e1000g0" 41134.3 1471.7 29862.9 7888.3 1410.5 191 33.7 0
"21:32:37" "e1000g0" 40651.8 1454.4 29512.7 7795.8 1410.5 191 33.3 0
"21:33:07" "e1000g0" 40974.3 1466.2 29749.3 7859.1 1410.4 191 33.6 0
"21:33:37" "e1000g0" 41057.9 1468.9 29807.4 7873.6 1410.5 191 33.6 0
"21:34:07" "e1000g0" 40981.1 1466.2 29751.9 7859 1410.5 191 33.6 0
"21:34:37" "e1000g0" 40895.7 1463.1 29689.7 7842.1 1410.5 191 33.5 0
"21:35:07" "e1000g0" 41226.5 1474.9 29929.8 7905.8 1410.5 191 33.8 0
"21:35:37" "e1000g0" 40917.1 1463.9 29705.4 7846.6 1410.5 191 33.5 0
"21:36:07" "e1000g0" 41100.9 1470.5 29838.5 7881.7 1410.5 191 33.7 0
"21:36:37" "e1000g0" 41106 1470.7 29842.3 7882.9 1410.5 191 33.7 0
"21:37:07" "e1000g0" 41118.2 1471.1 29851.3 7885.4 1410.5 191 33.7 0
"21:37:37" "e1000g0" 41115.9 1471 29849.5 7884.5 1410.5 191 33.7 0
"21:38:07" "e1000g0" 41070.7 1469.4 29816.6 7876.1 1410.5 191 33.6 0
"21:38:37" "e1000g0" 41000.2 1466.9 29765.6 7862.6 1410.5 191 33.6 0
"21:39:07" "e1000g0" 41224.1 1474.9 29928.2 7905.7 1410.5 191 33.8 0
"21:39:37" "e1000g0" 41024.4 1467.7 29783.1 7866.9 1410.5 191 33.6 0
