"epoch","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"epoch","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
1351587633.033,11.632,11.944,73.618,0.028,0.003,2.776,30402.049,279715.718,0,0,0,0,11686.165,5407.747,106012672,155320320,88592384,2839310336
1351587663.063,0.008,0,99.992,0,0,0,0,1228.8,44.667,14.467,0,0,20.1,8.133,105881600,155328512,88596480,2839429120
1351587693.059,1.482,2.766,94.154,0.025,0,1.573,0,159334.4,519682.567,13760066.267,0,0,8484.8,3140.833,104030208,155373568,93696000,2836135936
1351587723.059,2.775,4.85,89.034,0.067,0,3.275,0,343517.867,971032.1,25710805.267,0,0,15759.3,5856.733,104071168,155430912,103755776,2825977856
1351587753.059,3.3,5.616,87.934,0.067,0,3.083,0,340377.6,962440.133,25484489.267,0,0,15632.433,5807.4,103952384,155492352,113717248,2816073728
1351587783.059,3.233,5.733,87.893,0.067,0,3.075,0,342562.133,967022.567,25605362.1,0,0,15700.167,5833.033,104407040,155549696,123744256,2805534720
1351587813.059,2.942,5.733,87.875,0.075,0,3.375,0,340514.133,964951.567,4177353153.4,0,0,15669.7,5822.4,104382464,155607040,133742592,2795503616
1351587843.059,3.133,5.582,87.877,0.067,0,3.341,0,342289.067,966732.533,25598535.667,0,0,15695.533,5831.233,104333312,155668480,143761408,2785472512
1351587873.062,3.283,5.725,87.593,0.075,0,3.325,0,341469.867,965026.967,25552635.7,0,0,15671.467,5822.833,104316928,155725824,153751552,2775441408
1351587903.062,3.241,5.799,87.735,0.058,0,3.166,0,341879.467,966416,25589346.067,0,0,15690.5,5829,104275968,155783168,163766272,2765410304
1351587933.059,3.026,6.051,87.506,0.05,0,3.367,0,342425.6,966815.333,25600608.6,0,0,15698.4,5833.6,104357888,155844608,173780992,2755252224
1351587963.059,3.183,5.999,87.335,0.075,0,3.408,0,341469.867,965186,25556586.5,0,0,15671.867,5821.533,104456192,155901952,183783424,2745094144
1351587993.059,2.833,4.775,89.118,0.075,0,3.2,0,342562.133,970472.433,4177499080.433,0,0,15753.8,5855.733,104636416,155963392,193826816,2734809088
1351588023.059,2.591,4.641,89.868,0.067,0,2.833,0,344064,973545.333,25778349.967,0,0,15798.967,5872.167,104534016,156012544,203911168,2724777984
1351588053.059,2.825,4.975,89.151,0.075,0,2.975,0,344064,972581.933,25753161.1,0,0,15785.8,5868.167,104574976,156053504,213987328,2714619904
1351588083.059,2.908,5.025,88.826,0.067,0,3.175,0,344883.2,973128.1,25766495.867,0,0,15792.367,5869.233,104722432,156102656,224075776,2704334848
1351588113.059,2.55,4.934,89.349,0.067,0,3.1,0,345565.867,977731.967,25889435.733,0,0,15864.233,5899.4,104464384,156143616,234196992,2694430720
1351588143.059,2.158,3.391,91.584,0.083,0,2.783,0,347477.333,982163.2,26007016.8,0,0,15929.933,5924.1,104521728,156196864,244371456,2684145664
1351588173.059,2.941,5.4,88.568,0.067,0,3.025,0,343654.4,969524.7,4177474017.433,0,0,15739.767,5849.733,104710144,156241920,254423040,2673860608
1351588203.059,4.791,6.066,85.768,0.1,0,3.275,0,383931.733,959924.033,25416971.067,0,0,15596.2,5801.733,106668032,156360704,264314880,2661892096
1351588233.059,3.15,5.525,88.151,0.067,0,3.108,0,342425.6,966828.733,25600915.6,0,0,15698.3,5833.733,104259584,156418048,274386944,2654171136
1351588263.059,3.225,5.817,87.692,0.067,0,3.2,0,345019.733,966532.9,25592603.533,0,0,15693.067,5830.033,104226816,156463104,284405760,2644140032
1351588293.059,3.283,5.532,87.844,0.058,0,3.283,0,341333.333,963855.2,25521820.3,0,0,15652.633,5815.867,104218624,156512256,294387712,2634117120
1351588323.059,3.141,5.625,88.026,0.067,0,3.141,0,342835.2,967869.2,4177429691.933,0,0,15712.533,5837.833,104296448,156553216,304427008,2623959040
1351588353.059,3.092,5.367,88.2,0.05,0,3.292,0,342425.6,967845.3,25627751.1,0,0,15713.667,5839.733,104251392,156602368,314454016,2613927936
1351588383.059,3.208,5.325,88.151,0.067,0,3.25,0,342562.133,967359.1,25615119.133,0,0,15704.767,5835.067,104460288,156659712,324472832,2603642880
1351588413.059,2.683,5.116,89.034,0.067,0.008,3.091,0,343108.267,970054.067,25685633.933,0,0,15747.233,5852.833,104275968,156700672,334520320,2593738752
1351588443.059,3.083,5.375,88.051,0.067,0,3.425,0,342289.067,968591.667,25646814.167,0,0,15723.067,5842.1,104349696,156749824,344555520,2583580672
1351588473.059,3.033,5.742,87.875,0.067,0,3.283,0,342152.533,967750.6,25624900.3,0,0,15712.1,5839.333,104189952,156798976,354570240,2573676544
1351588503.059,3.083,5.633,87.833,0.067,0,3.383,0,342152.533,967768.933,4177427518.633,0,0,15711.333,5837.2,104394752,156844032,364605440,2563391488
1351588533.062,3.274,5.773,87.512,0.058,0,3.382,0,341742.933,965365.567,25562389.167,0,0,15676.233,5824.9,104378368,156897280,374599680,2553360384
1351588563.062,3.133,5.575,88.033,0.067,0,3.192,0,342016,966791.933,25599432.833,0,0,15696.6,5831.267,104214528,156950528,384614400,2543456256
1351588593.062,3.075,5.542,88.408,0.058,0,2.917,0,343381.333,969412.567,25669032.933,0,0,15737.533,5849.267,104288256,156999680,394649600,2533298176
1351588623.062,3.375,5.825,87.459,0.067,0,3.275,0,343381.333,4152768290.833,25593795.333,0,0,15693.133,5831.067,104525824,157040640,404664320,2523004928
1351588653.062,2.883,5.325,88.551,0.05,0,3.191,0,341333.333,966405.933,4177390888.2,0,0,15691.867,5831.1,104374272,157085696,414674944,2513100800
1351588683.059,3.075,5.942,87.592,0.058,0,3.333,0,342835.2,966919,25602571,0,0,15698.167,5832,104443904,157138944,424701952,2502950912
1351588713.059,3.075,5.867,87.65,0.067,0,3.342,0,342425.6,967623.8,25621642.833,0,0,15710.467,5838.133,104284160,157184000,434720768,2493046784
1351588743.059,2.966,5.357,88.519,0.067,0,3.091,0,343654.4,971651.2,25728692.567,0,0,15770.233,5860.833,104452096,157229056,444792832,2482761728
1351588773.059,3.133,5.8,87.826,0.058,0,3.183,0,342835.2,968082.967,25634266.033,0,0,15717.3,5841.133,104652800,157290496,454815744,2472476672
1351588803.059,3.95,5.258,87.609,0.058,0,3.125,0,343790.933,966742.633,25597351.133,0,0,15696.267,5834.667,111857664,157339648,464871424,2455166976
1351588833.059,3.741,5.691,87.034,0.083,0,3.45,0,356761.6,964295.833,4177334814.467,0,0,15665.067,5826.067,104046592,157425664,474849280,2452914176
1351588863.059,2.675,5.342,88.817,0.058,0,3.108,0,343244.8,971695.1,25729479.9,0,0,15770.633,5861.033,104357888,157462528,484913152,2442502144
1351588893.059,3.133,5.733,87.793,0.067,0,3.275,0,342152.533,966916.567,25603372.667,0,0,15699.8,5834.3,104325120,157503488,494927872,2432479232
1351588923.059,3.325,5.425,87.984,0.067,0,3.2,0,342152.533,967156.7,25609390.833,0,0,15701.9,5833.767,104407040,157560832,504946688,2422321152
1351588953.059,3.167,5.8,87.667,0.125,0,3.242,409.6,364407.467,961739.567,25465830.133,0,0,15627.6,5844.267,105664512,157642752,514908160,2411020288
1351588983.059,3.191,5.675,87.826,0.067,0,3.241,0,342152.533,966941.1,25603096.967,0,0,15698.667,5832.367,105877504,157696000,524926976,2400735232
1351589013.059,2.942,5.258,88.683,0.083,0,3.033,0,343927.467,970595.767,4177502337.9,0,0,15755.967,5856.367,105820160,157732864,534978560,2390704128
1351589043.059,2.742,5.275,88.917,0.05,0,3.017,0,324949.333,966571.4,25593795.333,0,0,15692.467,5829.9,105775104,157782016,545005568,2380673024
1351589073.059,3.191,5.566,88.06,0.058,0.017,3.108,0,341196.8,967039.633,25606243.9,0,0,15702.067,5834.967,105734144,157839360,555020288,2370641920
1351589103.059,3.174,5.591,87.935,0.058,0,3.241,0,342152.533,967551.5,25619866.033,0,0,15707.6,5835.967,105701376,157880320,565043200,2360610816
1351589133.059,3.033,5.833,87.942,0.067,0,3.125,0,342835.2,969185.467,25663702.533,0,0,15734.333,5847.8,105775104,157929472,575078400,2350452736
1351589163.059,3.008,5.467,88.35,0.067,0,3.108,0,343381.333,970699.533,4177504234,0,0,15755.467,5854.633,105697280,157978624,585138176,2340421632
1351589193.059,3.1,5.616,87.934,0.067,0,3.283,0,342152.533,966351.033,25587874.867,0,0,15691.333,5830.9,105660416,158031872,595152896,2330390528
1351589223.062,3.266,5.749,87.727,0.067,0,3.191,0,342698.667,968092.733,25634376.567,0,0,15716.433,5839.367,105738240,158085120,605179904,2320232448
1351589253.062,3.383,5.791,87.593,0.058,0,3.175,0,341196.8,966067.167,25580471.533,0,0,15686.967,5829.2,105709568,158134272,615190528,2310201344
1351589283.059,3.092,5.3,88.332,0.058,0,3.217,0,342152.533,968187.167,25637041.767,0,0,15717.167,5840.333,105783296,158187520,625221632,2300043264
1351589313.062,3.199,5.874,87.627,0.067,0,3.233,0,342562.133,967629.567,25621652.3,0,0,15710.733,5838.633,105869312,158244864,635236352,2289885184
