"Time" "Int" "rKB/s" "wKB/s" "rPk/s" "wPk/s" "rAvs" "wAvs" "%Util" "Sat"
"08:53:06" "e1000g0" 27628.9 979.9 19368.9 5257.1 1460.7 190.9 22.6 0
"08:53:36" "e1000g0" 0.54 2.55 2.8 2.6 196.7 1003.3 0 0
"08:54:06" "e1000g0" 14848.1 576.7 12025.9 3538.5 1264.3 166.9 12.2 0
"08:54:36" "e1000g0" 25159.2 977.2 20374.5 5994.5 1264.5 166.9 20.6 0
"08:55:06" "e1000g0" 24949.4 964 20204 5941 1264.5 166.2 20.4 0
"08:55:36" "e1000g0" 25034.6 967.2 20272.4 5960.9 1264.5 166.2 20.5 0
"08:56:06" "e1000g0" 24994.3 965.7 20239.7 5951.1 1264.6 166.2 20.5 0
"08:56:36" "e1000g0" 25044.1 967.6 20280.1 5963.1 1264.5 166.2 20.5 0
"08:57:06" "e1000g0" 25005.3 966.1 20248.7 5953.8 1264.5 166.2 20.5 0
"08:57:36" "e1000g0" 25031.1 967.1 20269.7 5960.1 1264.5 166.2 20.5 0
"08:58:06" "e1000g0" 25057.5 968.1 20291 5966.3 1264.5 166.2 20.5 0
"08:58:36" "e1000g0" 25015.7 966.5 20257.3 5956.7 1264.5 166.2 20.5 0
"08:59:06" "e1000g0" 25133.4 971.1 20352.5 5984.4 1264.5 166.2 20.6 0
"08:59:36" "e1000g0" 25239.2 975.1 20438.2 6009.6 1264.5 166.2 20.7 0
"09:00:06" "e1000g0" 25193.1 973.4 20400.8 5998.5 1264.5 166.2 20.6 0
"09:00:36" "e1000g0" 25187.4 973.1 20396.2 5997.1 1264.5 166.2 20.6 0
"09:01:06" "e1000g0" 25356 979.7 20532.8 6037.5 1264.5 166.2 20.8 0
"09:01:36" "e1000g0" 25442.5 983 20602.7 6058 1264.6 166.2 20.8 0
"09:02:06" "e1000g0" 25088.2 969.3 20315.7 5973.4 1264.6 166.2 20.6 0
"09:02:36" "e1000g0" 24870.5 960.9 20139.7 5921.9 1264.5 166.2 20.4 0
"09:03:06" "e1000g0" 25051.4 967.9 20286 5964.7 1264.5 166.2 20.5 0
"09:03:36" "e1000g0" 25032.4 967.2 20270.8 5960.4 1264.5 166.2 20.5 0
"09:04:06" "e1000g0" 24975.5 965 20224.7 5946.9 1264.5 166.2 20.5 0
"09:04:36" "e1000g0" 25070.4 968.6 20301.4 5969.3 1264.5 166.2 20.5 0
"09:05:06" "e1000g0" 25073.1 968.7 20303.6 5970.1 1264.5 166.2 20.5 0
"09:05:36" "e1000g0" 25062.1 968.3 20294.8 5967.5 1264.5 166.2 20.5 0
"09:06:06" "e1000g0" 25123.6 970.7 20344.8 5982.2 1264.5 166.2 20.6 0
"09:06:36" "e1000g0" 25101.8 969.9 20327.1 5977.2 1264.5 166.2 20.6 0
"09:07:06" "e1000g0" 25064.2 968.4 20296.6 5967.9 1264.5 166.2 20.5 0
"09:07:36" "e1000g0" 25073.7 968.7 20304.2 5970.3 1264.5 166.2 20.5 0
"09:08:06" "e1000g0" 25008.2 966.2 20250.9 5954.4 1264.6 166.2 20.5 0
"09:08:36" "e1000g0" 25044.1 967.6 20280.2 5963.2 1264.5 166.2 20.5 0
"09:09:06" "e1000g0" 25117.1 970.4 20339.3 5980.5 1264.5 166.2 20.6 0
"09:09:36" "e1000g0" 25036.6 967.3 20274.1 5961.3 1264.5 166.2 20.5 0
"09:10:06" "e1000g0" 25020.5 966.7 20261.1 5957.6 1264.5 166.2 20.5 0
"09:10:36" "e1000g0" 25060.7 968.3 20293.5 5967.2 1264.5 166.2 20.5 0
"09:11:06" "e1000g0" 25062.8 968.3 20295.2 5967.5 1264.5 166.2 20.5 0
"09:11:36" "e1000g0" 25175.8 972.7 20386.6 5994.3 1264.6 166.2 20.6 0
"09:12:06" "e1000g0" 25089.4 969.4 20317 5974 1264.5 166.2 20.6 0
"09:12:36" "e1000g0" 24933.1 963.3 20190.3 5936.5 1264.5 166.2 20.4 0
"09:13:06" "e1000g0" 25090.2 969.4 20317.5 5974.1 1264.5 166.2 20.6 0
"09:13:36" "e1000g0" 25160.9 972.1 20374.7 5990.9 1264.6 166.2 20.6 0
"09:14:06" "e1000g0" 25049.4 967.8 20284.4 5964.3 1264.5 166.2 20.5 0
"09:14:36" "e1000g0" 25052.5 967.9 20287 5965.2 1264.5 166.2 20.5 0
"09:15:06" "e1000g0" 24922.7 962.9 20181.9 5934.3 1264.5 166.2 20.4 0
"09:15:36" "e1000g0" 25051.7 967.9 20286.3 5964.8 1264.5 166.2 20.5 0
"09:16:06" "e1000g0" 25168.7 972.4 20381 5992.9 1264.5 166.2 20.6 0
"09:16:36" "e1000g0" 25012.6 966.4 20254.6 5955.6 1264.5 166.2 20.5 0
"09:17:06" "e1000g0" 25052.2 967.9 20286.6 5964.9 1264.6 166.2 20.5 0
"09:17:36" "e1000g0" 25075.1 968.8 20305.2 5970.4 1264.6 166.2 20.5 0
"09:18:06" "e1000g0" 25101.8 969.9 20327 5977.1 1264.5 166.2 20.6 0
"09:18:36" "e1000g0" 25145.3 971.5 20362.1 5987 1264.5 166.2 20.6 0
"09:19:06" "e1000g0" 25034.4 967.2 20272.4 5960.9 1264.5 166.2 20.5 0
"09:19:36" "e1000g0" 25076 968.8 20305.9 5970.6 1264.5 166.2 20.5 0
"09:20:06" "e1000g0" 25025.3 966.9 20265.1 5958.8 1264.5 166.2 20.5 0
"09:20:36" "e1000g0" 25089.9 973.8 20317.7 5977.4 1264.5 166.8 20.6 0
