"epoch","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"epoch","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
1351642772.555,11.356,12.199,73.385,0.061,0.002,2.996,27036.447,344294.109,0,0,0,0,13329.079,6612.922,87801856,39415808,252522496,2809495552
1351642802.583,0.54,0.058,99.401,0,0,0,0,1501.867,55,14.467,0,0,77.333,111.367,92917760,39424000,252526592,2804367360
1351642832.585,4.147,1.532,94.249,0.008,0,0.064,0,24985.6,477319.167,12515379.533,0,0,5838.033,3100.267,86691840,39546880,252628992,2810368000
1351642862.585,5.379,2.599,91.896,0,0,0.126,0,1606041.6,836796.4,21885260.033,0,0,10329.933,5116.8,87695360,39587840,252633088,2809319424
1351642892.583,5.479,2.04,91.528,0.868,0,0.086,0,2118724.267,833746.933,4173614035.5,0,0,10398.933,5089.667,87748608,39628800,252633088,2809225216
1351642922.585,4.945,1.904,92.282,0.79,0,0.079,0,2187537.067,832874.467,21791746.567,0,0,10311.667,5076.133,87732224,39669760,252633088,2809200640
1351642952.585,5.009,2.884,89.833,2.133,0,0.142,546.133,2750737.067,806660.967,21134658.267,0,0,10205.1,5121.3,86368256,39763968,252719104,2810384384
1351642982.585,3.895,2.408,90.549,3.068,0,0.079,0,2553992.533,813579.1,21287519.9,0,0,10315.1,4981.967,86958080,39804928,252723200,2809749504
1351643012.585,4.988,2.155,92.084,0.71,0,0.063,0,2318062.933,829881.2,21712938.533,0,0,10329.867,5059.5,86401024,39845888,252723200,2810265600
1351643042.585,3.437,1.771,94.003,0.724,0,0.064,0,2193954.133,828531.667,21678075.5,0,0,10252.767,5049.833,86233088,39886848,252723200,2810392576
1351643072.585,4.316,2.178,90.837,2.574,0,0.095,0,2748689.067,805551.267,21111419.067,0,0,10180,5067.033,86319104,39927808,252817408,2810171392
1351643102.585,3.518,2.034,93.578,0.774,0,0.096,0,2277785.6,828144.8,4173470128.067,0,0,10254.933,5047.633,86437888,39968768,252817408,2810011648
1351643132.585,3.552,1.931,94.421,0.048,0,0.048,0,2062882.133,836438.7,21884909.967,0,0,10313.033,5097.6,86777856,40009728,252817408,2809630720
1351643162.585,5.081,2.208,91.89,0.759,0,0.063,0,2177433.6,832604,21784715.367,0,0,10337.033,5073.133,86736896,40050688,252817408,2809630720
1351643192.585,3.496,2.107,93.263,0.998,0,0.136,0,2166647.467,793292.667,20790372,0,0,9899.9,4992.067,86978560,40099840,252907520,2809249792
1351643222.585,4.023,2.127,93.056,0.698,0,0.095,0,2577612.8,835026.7,21847996.167,0,0,10392.4,5090.4,86810624,40140800,252907520,2809376768
1351643252.583,4.759,2.041,92.302,0.819,0,0.079,0,2152857.6,825503.433,21598978.9,0,0,10282.933,5046.933,86769664,40181760,252907520,2809376768
1351643282.585,4.752,2.321,92.036,0.805,0,0.086,0,2168149.333,829371.333,4173501728.367,0,0,10307.967,5059.067,86728704,40222720,252907520,2809376768
1351643312.582,4.265,2.219,92.71,0.695,0,0.111,0,2224674.133,822942.133,21572285.8,0,0,10272.9,5153.533,86560768,40263680,253001728,2809409536
1351643342.585,3.699,2.117,91.78,2.301,0,0.104,0,2863240.533,829286.867,21697708.667,0,0,10500.367,5068.167,86044672,40312832,252993536,2809884672
1351643372.585,4.384,2.227,92.61,0.708,0,0.071,0,2184669.867,833530.5,21809036,0,0,10321.533,5079.967,85995520,40353792,253001728,2809884672
1351643402.558,4.899,2.24,92.037,0.712,0,0.111,0,2179618.133,825477.9,21598388.567,0,0,10310.367,5036.133,92852224,40394752,253001728,2802987008
1351643432.585,4.571,2.206,91.638,1.418,0,0.167,0,2386193.067,811677.067,21278184.567,0,0,10172.133,5094.067,86372352,40517632,253104128,2809241600
1351643462.585,3.924,1.954,91.756,2.31,0,0.055,0,692497.067,820343.867,21464214.233,0,0,10124.633,5008.967,86675456,40558592,253108224,2808893440
1351643492.585,4.122,1.893,93.242,0.663,0,0.08,0,2262084.267,824882.367,4173384293.233,0,0,10280.067,5030.433,86118400,40599552,253108224,2809409536
1351643522.585,3.812,2.139,93.251,0.718,0,0.079,0,2151219.2,837097.067,21902195,0,0,10426.533,5100.633,86745088,40640512,253108224,2808741888
1351643552.585,4.985,2.422,90.297,2.202,0,0.094,0,2746368,815973.267,21395791.6,0,0,10379.633,5129.733,86609920,40681472,253202432,2808741888
1351643582.585,4.214,2.241,90.467,3.03,0,0.047,0,2610517.333,810590.233,21208463.133,0,0,10283.467,4949.267,86536192,40722432,253202432,2808774656
1351643612.573,3.818,1.945,93.3,0.865,0,0.072,0,2308642.133,829574.6,21705321.4,0,0,10281.267,5058.533,86622208,40763392,253202432,2808647680
1351643642.585,3.939,2.037,93.009,0.919,0,0.096,0,2177706.667,830504.133,21729930.6,0,0,10292.2,5060.867,86675456,40804352,253202432,2808553472
1351643672.585,3.654,2.133,92.485,1.616,0,0.111,0,2646562.133,807831.167,21182404.367,0,0,10107.933,5075.267,85934080,40853504,253292544,2809155584
1351643702.585,3.243,2.029,94.274,0.407,0,0.048,0,2202146.133,832699.433,4173588779.567,0,0,10285.6,5074.833,86687744,40894464,253292544,2808360960
1351643732.583,3.87,2.225,93.031,0.795,0,0.079,0,2170880,830343.033,21725247.533,0,0,10275.9,5064.867,86646784,40935424,253292544,2808360960
1351643762.585,4.318,2.056,92.854,0.701,0,0.071,0,2171016.533,833560.967,21809617.533,0,0,10379.7,5079.733,86605824,40976384,253292544,2808360960
1351643792.585,4.44,2.164,92.401,0.877,0,0.118,0,2204467.2,808782.8,21212767.833,0,0,10055.433,5076.3,86347776,41017344,253382656,2808487936
1351643822.585,4.339,2.142,90.974,2.466,0.008,0.071,0,2872388.267,828910.833,21688080.867,0,0,10428.867,5055.1,86433792,41058304,253382656,2808360960
1351643852.573,4.125,2.189,92.801,0.806,0.008,0.071,0,2180983.467,833769.033,21814890.933,0,0,10364.533,5083.5,86519808,41099264,253382656,2808233984
1351643882.585,5.023,2.119,91.932,0.856,0,0.071,0,2181120,837169.467,4173705673.267,0,0,10422.167,5101.667,86446080,41140224,253382656,2808266752
1351643912.585,5.192,2.502,91.457,0.779,0,0.071,0,2213614.933,813378.367,21333054.167,0,0,10172.433,5097.6,85798912,41189376,253472768,2808774656
1351643942.585,4.154,1.986,92.705,1.092,0,0.063,0,2573243.733,819417.533,21440190.967,0,0,10194.267,4996.4,85667840,41230336,253468672,2808868864
1351643972.573,3.671,1.791,93.675,0.792,0,0.072,0,2181666.133,836578.3,21888718.533,0,0,10416.133,5099.667,85553152,41271296,253476864,2808934400
1351644002.585,4.983,1.96,92.232,0.667,0,0.159,0,2177570.133,826191.533,21616552.5,0,0,10274.233,5044.967,94253056,41312256,253476864,2800193536
1351644032.585,4.441,2.336,86.185,6.911,0,0.127,0,1135547.733,771830.733,20243553.433,0,0,9885.533,4886.267,87138304,41435136,253579264,2807083008
1351644062.58,4.17,2.693,90.106,2.96,0,0.071,0,2495556.267,815791.333,21344981.2,0,0,10310.367,4980.167,87318528,41476096,253579264,2806861824
1351644092.585,4.604,2.054,92.46,0.803,0,0.079,0,2320930.133,822324.467,4173317496.833,0,0,10233.4,5019.5,87142400,41517056,253579264,2806996992
1351644122.581,3.102,1.794,94.011,0.981,0,0.112,0,2151492.267,830340.833,21725251.933,0,0,10332.1,5061.4,87228416,41558016,253579264,2806870016
1351644152.585,4.231,2.236,91.866,1.571,0,0.096,0,2631270.4,813030.867,21332811.033,0,0,10176.267,5097.067,86458368,41598976,253673472,2807504896
1351644182.585,3.825,1.829,91.921,2.37,0,0.056,0,2339089.067,812473.067,21257965.7,0,0,10200.267,4973.367,86568960,41648128,253673472,2807345152
1351644212.585,4.026,1.87,93.263,0.761,0,0.079,0,2169651.2,830998.6,21742235.2,0,0,10306.767,5068.1,86523904,41689088,253677568,2807345152
1351644242.585,3.306,1.881,93.675,1.041,0,0.096,0,2177297.067,835297.6,21855320.333,0,0,10327.067,5099.833,87212032,41730048,253677568,2806616064
1351644272.585,4.744,2.151,92.212,0.807,0,0.087,0,2167193.6,813772.4,21352230.267,0,0,10165.167,5099.033,87113728,41771008,253767680,2806583296
1351644302.585,4.185,2.077,91.447,2.18,0,0.111,0,2862557.867,818735.367,4173223747.5,0,0,10352.4,5006.8,86945792,41811968,253767680,2806710272
1351644332.585,4.434,2.004,92.615,0.86,0,0.087,0,2167330.133,827144.667,21642004.9,0,0,10238.333,5044.6,87031808,41852928,253767680,2806583296
1351644362.585,3.33,1.825,94.012,0.776,0,0.056,0,2182894.933,836314.533,21881727.433,0,0,10407.367,5094.667,86798336,41893888,253767680,2806775808
1351644392.585,5.224,2.317,91.163,1.186,0,0.11,0,2190267.733,803662.533,21089819.2,0,0,9975.233,5045.433,86908928,41943040,253861888,2806521856
1351644422.585,4.246,2.028,92.842,0.829,0,0.055,0,2633318.4,836905.167,21897214.567,0,0,10479.767,5102.7,86773760,41984000,253861888,2806616064
1351644452.585,3.908,1.93,93.046,1.028,0,0.087,0,2154359.467,821388.667,21490585.633,0,0,10220,5018.7,86765568,42024960,253861888,2806583296
1351644482.585,3.848,2.035,93.235,0.827,0,0.056,0,2173201.067,829865.667,4173514659,0,0,10285.7,5058.267,86945792,42065920,253861888,2806362112
1351644512.585,4.775,2.194,88.635,4.253,0,0.143,0,3177130.667,804839.867,21118112.667,0,0,10430.8,5062.267,86433792,42115072,253943808,2806743040
