"Time" "Int" "rKB/s" "wKB/s" "rPk/s" "wPk/s" "rAvs" "wAvs" "%Util" "Sat"
"00:12:00" "e1000g0" 30128.4 1089.7 21474.1 6042.3 1436.7 184.7 24.7 0
"00:12:30" "e1000g0" 0.55 2.56 2.77 2.73 202.2 958.1 0 0
"00:13:00" "e1000g0" 10464 411.2 7299.1 2429.2 1468 173.3 8.57 0
"00:13:30" "e1000g0" 21395.7 843.8 14951.3 4992 1465.4 173.1 17.5 0
"00:14:00" "e1000g0" 21321.3 833.9 14893.7 4965.6 1465.9 172 17.5 0
"00:14:30" "e1000g0" 21300 832.9 14877.4 4959.3 1466.1 172 17.4 0
"00:15:00" "e1000g0" 20660.5 810.6 14418 4810.9 1467.4 172.5 16.9 0
"00:15:30" "e1000g0" 20812.3 813.8 14536.4 4845.4 1466.1 172 17 0
"00:16:00" "e1000g0" 21226.7 830.1 14826.2 4942.1 1466.1 172 17.4 0
"00:16:30" "e1000g0" 21184 828.4 14796.3 4932.1 1466.1 172 17.4 0
"00:17:00" "e1000g0" 20901.8 816.1 14575.8 4858.6 1468.4 172 17.1 0
"00:17:30" "e1000g0" 21026.6 822.3 14686.5 4895.6 1466.1 172 17.2 0
"00:18:00" "e1000g0" 21280.2 832.2 14863.5 4954.5 1466.1 172 17.4 0
"00:18:30" "e1000g0" 21293.4 832.7 14872.8 4957.6 1466.1 172 17.4 0
"00:19:00" "e1000g0" 20322.9 793.4 14171.6 4723.8 1468.5 172 16.6 0
"00:19:30" "e1000g0" 21356.1 835.1 14916.7 4972.2 1466.1 172 17.5 0
"00:20:00" "e1000g0" 21113.6 825.7 14747.3 4915.8 1466.1 172 17.3 0
"00:20:30" "e1000g0" 21209.2 829.4 14814 4938 1466.1 172 17.4 0
"00:21:00" "e1000g0" 21089.1 823.1 14701.9 4900.9 1468.9 172 17.3 0
"00:21:30" "e1000g0" 21205.8 829.3 14811.7 4937.2 1466.1 172 17.4 0
"00:22:00" "e1000g0" 21319.1 833.7 14890.7 4963.6 1466.1 172 17.5 0
"00:22:30" "e1000g0" 21379.4 836 14932.8 4977.6 1466.1 172 17.5 0
"00:23:00" "e1000g0" 20577.1 803.1 14343.9 4781.3 1469 172 16.9 0
"00:23:30" "e1000g0" 20935.5 818.7 14622.8 4874.2 1466.1 172 17.2 0
"00:24:00" "e1000g0" 21099.3 825.1 14737.2 4912.4 1466.1 172 17.3 0
"00:24:30" "e1000g0" 21406.8 837.1 14952.1 4984.1 1466.1 172 17.5 0
"00:25:00" "e1000g0" 20916.4 816.2 14578.3 4859.4 1469.2 172 17.1 0
"00:25:30" "e1000g0" 20729.1 810.6 14479 4826.3 1466 172 17 0
"00:26:00" "e1000g0" 21226.1 830 14825.7 4941.9 1466.1 172 17.4 0
"00:26:30" "e1000g0" 21310 833.3 14884.3 4961.5 1466.1 172 17.5 0
"00:27:00" "e1000g0" 20908.9 821.8 14574.6 4862.5 1469 173.1 17.1 0
"00:27:30" "e1000g0" 21015 821.5 14678.1 4892.4 1466.1 171.9 17.2 0
"00:28:00" "e1000g0" 21234.9 830.1 14831.6 4943.6 1466.1 171.9 17.4 0
"00:28:30" "e1000g0" 21319.6 833.4 14890.7 4963.4 1466.1 171.9 17.5 0
"00:29:00" "e1000g0" 20741.4 808.9 14452.1 4817.2 1469.6 171.9 17 0
"00:29:30" "e1000g0" 21192.1 828.6 14803.6 4935 1465.9 171.9 17.4 0
"00:30:00" "e1000g0" 21333.1 834 14900.1 4966.5 1466.1 171.9 17.5 0
"00:30:30" "e1000g0" 21400.4 836.6 14947.3 4982.3 1466.1 171.9 17.5 0
"00:31:00" "e1000g0" 20854.3 813.3 14530.7 4843.4 1469.6 171.9 17.1 0
"00:31:30" "e1000g0" 20958.3 819.3 14638.4 4879.2 1466.1 171.9 17.2 0
"00:32:00" "e1000g0" 21420.1 837.4 14960.9 4986.7 1466.1 171.9 17.5 0
"00:32:30" "e1000g0" 21403.8 836.7 14949.5 4983 1466.1 171.9 17.5 0
"00:33:00" "e1000g0" 19490.4 760 13579.5 4526.3 1469.7 171.9 16 0
"00:33:30" "e1000g0" 20864.3 815.6 14572.9 4857.4 1466.1 171.9 17.1 0
"00:34:00" "e1000g0" 21030.7 822.1 14689 4896.1 1466.1 171.9 17.2 0
"00:34:30" "e1000g0" 21249.8 830.7 14842.2 4947.2 1466.1 171.9 17.4 0
"00:35:00" "e1000g0" 21014.5 819.2 14636.5 4878.6 1470.2 171.9 17.2 0
"00:35:30" "e1000g0" 20600.6 805.3 14388.6 4796 1466.1 171.9 16.9 0
"00:36:00" "e1000g0" 21253.8 830.9 14844.7 4948.1 1466.1 171.9 17.4 0
"00:36:30" "e1000g0" 21363.7 835.2 14921.7 4973.8 1466.1 171.9 17.5 0
"00:37:00" "e1000g0" 20865.8 813.4 14532.8 4844.1 1470.2 171.9 17.1 0
"00:37:30" "e1000g0" 20932.1 818.3 14620.1 4873.2 1466.1 171.9 17.1 0
"00:38:00" "e1000g0" 21156.1 827 14776.7 4925.4 1466.1 171.9 17.3 0
"00:38:30" "e1000g0" 21389.8 836.2 14939.7 4979.7 1466.1 171.9 17.5 0
"00:39:00" "e1000g0" 20618.6 803.6 14358.6 4786 1470.4 171.9 16.9 0
"00:39:30" "e1000g0" 21401.6 836.7 14948.2 4982.7 1466.1 171.9 17.5 0
"00:40:00" "e1000g0" 21006.1 821.2 14672 4890.3 1466.1 171.9 17.2 0
"00:40:30" "e1000g0" 21222.6 829.6 14822.9 4940.9 1466.1 171.9 17.4 0
"00:41:00" "e1000g0" 20647.9 811.4 14382.8 4798.4 1470.1 173.2 16.9 0
"00:41:30" "e1000g0" 21050.9 823.2 14703.4 4901.1 1466.1 172 17.2 0
"00:42:00" "e1000g0" 21355.7 835.1 14916.3 4972 1466.1 172 17.5 0
"00:42:30" "e1000g0" 21323.6 833.9 14893.8 4964.6 1466.1 172 17.5 0
"00:43:00" "e1000g0" 20738.5 808.4 14440.1 4813.3 1470.6 172 17 0
"00:43:30" "e1000g0" 20772.5 812.3 14509 4836.3 1466.1 172 17 0
"00:44:00" "e1000g0" 21056.7 829.6 14708.6 4907.2 1466 173.1 17.2 0
"00:44:30" "e1000g0" 11884.3 482.8 8304.2 2780.9 1465.5 177.8 9.74 0
"00:45:00" "e1000g0" 0.15 0.29 1.07 0.53 144.8 564.1 0 0
"00:45:30" "e1000g0" 0.09 0.01 0.93 0.17 95.11 87.4 0 0
"00:46:00" "e1000g0" 20893 814.2 14581.2 4831.8 1467.3 172.5 17.1 0
